date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1963:Q1,0,0,9,11,-2
1963:Q2,0,0,10,9,1
1963:Q3,0,0,9,1,8
1963:Q4,0,0,18,-10,28
1964:Q1,0,0,19,1,18
1964:Q2,0,0,16,-1,17
1964:Q3,0,0,14,-25,39
1964:Q4,0,0,-25,-148,123
1965:Q1,0,0,34,-15,49
1965:Q2,0,0,37,22,15
1965:Q3,0,0,48,60,-12
1965:Q4,0,0,115,103,12
1966:Q1,0,0,178,161,17
1966:Q2,0,0,301,242,59
1966:Q3,0,0,197,108,89
1966:Q4,0,0,223,231,-8
1967:Q1,0,0,213,187,26
1967:Q2,0,0,218,108,110
1967:Q3,0,0,166,148,18
1967:Q4,0,0,86,24,62
1968:Q1,0,0,224,171,53
1968:Q2,0,0,60,-91,151
1968:Q3,0,0,46,33,13
1968:Q4,0,0,86,54,32
1969:Q1,0,0,46,31,15
1969:Q2,0,0,58,-90,148
1969:Q3,0,0,32,25,7
1969:Q4,0,0,136,87,49
1970:Q1,400,400,63,52,11
1970:Q2,0,0,24,86,-62
1970:Q3,0,0,71,88,-17
1970:Q4,0,0,64,75,-11
1971:Q1,0,0,98,121,-23
1971:Q2,0,0,143,150,-7
1971:Q3,0,0,114,127,-13
1971:Q4,0,0,135,80,55
1972:Q1,0,0,173,268,-95
1972:Q2,0,0,153,171,-18
1972:Q3,0,0,111,134,-23
1972:Q4,0,0,96,113,-17
1973:Q1,0,0,88,107,-19
1973:Q2,0,0,193,111,82
1973:Q3,0,0,64,83,-19
1973:Q4,0,0,77,102,-25
1974:Q1,0,0,100,97,3
1974:Q2,0,0,97,111,-14
1974:Q3,0,0,103,145,-42
1974:Q4,0,0,145,183,-38
1975:Q1,0,0,167,201,-34
1975:Q2,100,100,211,234,-23
1975:Q3,0,0,199,247,-48
1975:Q4,0,0,260,284,-24
1976:Q1,0,0,148,185,-37
1976:Q2,0,0,339,155,184
1976:Q3,300,300,-101,127,-228
1976:Q4,400,400,103,135,-32
1977:Q1,0,0,-11,119,-130
1977:Q2,0,0,117,142,-25
1977:Q3,0,0,99,125,-26
1977:Q4,50,50,45,125,-80
1978:Q1,0,0,136,110,26
1978:Q2,0,0,97,124,-27
1978:Q3,50,50,129,118,11
1978:Q4,0,0,112,148,-36
1979:Q1,0,0,276,327,-51
1979:Q2,500,500,323,367,-44
1979:Q3,0,0,280,300,-20
1979:Q4,0,0,231,266,-35
1980:Q1,1168,1168,216,261,-45
1980:Q2,50,50,140,171,-31
1980:Q3,250,250,76,130,-54
1980:Q4,-750,-750,132,179,-47
1981:Q1,300,300,110,172,-62
1981:Q2,250,250,99,154,-55
1981:Q3,250,250,108,155,-47
1981:Q4,0,0,128,169,-41
1982:Q1,250,250,104,155,-51
1982:Q2,250,250,87,140,-53
1982:Q3,400,400,71,135,-64
1982:Q4,400,400,95,131,-36
1983:Q1,0,0,112,170,-58
1983:Q2,0,0,133,179,-46
1983:Q3,0,0,137,176,-39
1983:Q4,0,0,86,164,-78
1984:Q1,0,0,174,157,17
1984:Q2,0,0,155,224,-69
1984:Q3,0,0,83,124,-41
1984:Q4,0,0,141,181,-40
1985:Q1,0,0,277,170,107
1985:Q2,0,0,18,195,-177
1985:Q3,0,0,80,141,-61
1985:Q4,100,100,12,128,-116
1986:Q1,0,0,211,155,56
1986:Q2,100,100,93,123,-30
1986:Q3,200,200,76,108,-32
1986:Q4,0,0,109,129,-20
1987:Q1,0,0,128,168,-40
1987:Q2,0,0,107,154,-47
1987:Q3,0,0,114,117,-3
1987:Q4,0,0,120,171,-51
1988:Q1,0,0,129,162,-33
1988:Q2,0,0,100,162,-62
1988:Q3,0,0,120,136,-16
1988:Q4,0,0,162,162,0
1989:Q1,350,350,140,237,-97
1989:Q2,3150,3150,180,217,-37
1989:Q3,0,0,110,172,-62
1989:Q4,0,0,137,202,-65
1990:Q1,0,0,150,214,-64
1990:Q2,0,0,161,225,-64
1990:Q3,0,0,99,155,-56
1990:Q4,1500,1500,543,181,362
1991:Q1,0,0,-298,172,-470
1991:Q2,0,0,112,175,-63
1991:Q3,0,0,100,137,-37
1991:Q4,0,0,126,128,-2
1992:Q1,0,0,18,121,-103
1992:Q2,0,0,72,118,-46
1992:Q3,0,0,47,85,-38
1992:Q4,-2000,-2000,83,109,-26
1993:Q1,0,0,72,126,-54
1993:Q2,0,0,90,132,-42
1993:Q3,0,0,106,161,-55
1993:Q4,0,0,178,229,-51
1994:Q1,0,0,164,223,-59
1994:Q2,0,0,159,210,-51
1994:Q3,0,0,192,251,-59
1994:Q4,0,0,171,215,-44
1995:Q1,0,0,184,232,-48
1995:Q2,0,0,170,264,-94
1995:Q3,2150,2150,197,270,-73
1995:Q4,0,0,127,243,-116
1996:Q1,0,0,-1,266,-267
1996:Q2,0,0,-45,251,-296
1996:Q3,-450,-450,586,224,362
1996:Q4,0,0,-1,222,-223
1997:Q1,-518,-518,109,191,-82
1997:Q2,0,0,39,117,-78
1997:Q3,0,0,313,128,185
1997:Q4,0,0,-1,141,-142
1998:Q1,0,0,80,121,-41
1998:Q2,0,0,56,122,-66
1998:Q3,0,0,425,205,220
1998:Q4,0,0,-1,279,-280
1999:Q1,-1000,-1000,0,368,-368
1999:Q2,0,0,517,366,151
1999:Q3,-1000,-1000,500,453,47
1999:Q4,-1000,-1000,-1,556,-557
2000:Q1,0,0,540,990,-450
2000:Q2,-2000,-2000,798,976,-178
2000:Q3,-1000,-1000,1057,832,225
2000:Q4,-1000,-1000,-1,832,-833
2001:Q1,0,0,398,628,-230
2001:Q2,0,0,326,399,-73
2001:Q3,0,0,558,287,271
2001:Q4,0,0,0,60,-60
2002:Q1,0,0,234,613,-379
2002:Q2,0,0,150,365,-215
2002:Q3,0,0,604,320,284
2002:Q4,0,0,0,282,-282
2003:Q1,0,0,141,201,-60
2003:Q2,0,0,401,267,134
2003:Q3,0,0,23,208,-185
2003:Q4,0,0,-1,195,-196
2004:Q1,0,0,196,293,-97
2004:Q2,0,0,289,278,11
2004:Q3,0,0,174,240,-66
2004:Q4,0,0,30,155,-125
2005:Q1,0,0,199,111,88
2005:Q2,0,0,270,70,200
2005:Q3,0,0,229,-186,415
2005:Q4,0,0,81,111,-30
2006:Q1,0,0,144,1339,-1195
2006:Q2,0,0,189,111,78
2006:Q3,0,0,250,94,156
2006:Q4,0,0,-1,122,-123
2007:Q1,0,0,102,165,-63
2007:Q2,0,0,-331,150,-481
2007:Q3,0,0,-351,118,-469
2007:Q4,0,0,-101,42,-143
2008:Q1,0,0,-227,-2,-225
2008:Q2,0,0,-117,-2,-115
2008:Q3,0,0,-297,-2,-295
2008:Q4,0,0,-191,-1,-190
2009:Q1,0,0,-1,3587,-3588
2009:Q2,0,0,-1,166,-167
2009:Q3,3000,3000,-250,137,-387
2009:Q4,0,0,-100,127,-227
2010:Q1,0,0,0,54,-54
2010:Q2,0,0,-1,460,-461
2010:Q3,0,0,-275,208,-483
2010:Q4,0,0,0,129,-129
2011:Q1,0,0,0,248,-248
2011:Q2,0,0,0,163,-163
2011:Q3,0,0,0,129,-129
2011:Q4,0,0,0,116,-116
2012:Q1,0,0,0,191,-191
2012:Q2,0,0,0,128,-128
2012:Q3,0,0,0,118,-118
2012:Q4,0,0,0,116,-116
2013:Q1,0,0,0,220,-220
2013:Q2,0,0,0,176,-176
2013:Q3,0,0,-350,187,-537
2013:Q4,0,0,0,159,-159
2014:Q1,0,0,0,256,-256
2014:Q2,0,0,0,214,-214
2014:Q3,0,0,-250,208,-458
2014:Q4,0,0,0,130,-130
2015:Q1,0,0,0,370,-370
2015:Q2,0,0,0,329,-329
2015:Q3,0,0,-551,327,-878
2015:Q4,0,0,0,240,-240
2016:Q1,0,0,0,159,-159
2016:Q2,0,0,0,317,-317
2016:Q3,0,0,-550,327,-877
2016:Q4,0,0,0,166,-166
2017:Q1,0,0,0,245,-245
2017:Q2,0,0,0,205,-205
2017:Q3,0,0,-250,189,-439
2017:Q4,0,0,0,206,-206
2018:Q1,0,0,0,136,-136
2018:Q2,0,0,0,100,-100
2018:Q3,0,0,-266,74,-340
2018:Q4,0,0,0,71,-71
2019:Q1,0,0,0,103,-103
2019:Q2,0,0,0,65,-65
2019:Q3,0,0,-540,64,-604
2019:Q4,0,0,0,77,-77
2020:Q1,0,0,0,109,-109
2020:Q2,0,0,0,76,-76
2020:Q3,0,0,-40,118,-158
2020:Q4,0,0,0,81,-81
2021:Q1,0,0,0,75,-75
2021:Q2,0,0,0,56,-56
2021:Q3,0,0,-120,88,-208
2021:Q4,0,0,0,153,-153
