date,Real estate investment trusts; total financial assets,Real estate investment trusts; checkable deposits and currency; asset,Real estate investment trusts; debt securities; asset,Mortgage real estate investment trusts; agency- and GSE-backed securities; asset,Real estate investment trusts; corporate and foreign bonds; asset,Real estate investment trusts; total mortgages; asset,Real estate investment trusts; one-to-four-family residential mortgages; asset,Real estate investment trusts; multifamily residential mortgages; asset,Real estate investment trusts; commercial mortgages; asset,Real estate investment trusts; total miscellaneous assets,Real estate investment trusts; total liabilities,Mortgage real estate investment trusts; security repurchase agreements; liability,Real estate investment trusts; debt securities; liability,Mortgage real estate investment trusts; commercial paper; liability,Real estate investment trusts; corporate and foreign bonds; liability,Real estate investment trusts; loans; liability,Real estate investment trusts; depository institution loans n.e.c.; liability,Mortgage real estate investment trusts; FHLB advances; liability,Equity real estate investment trusts; total mortgages; liability,Real estate investment trusts; unidentified miscellaneous liabilities,Real estate investment trusts; securitized assets,Mortgage real estate investment trusts; securitized agency- and GSE-backed securities; asset,Mortgage real estate investment trusts; securitized one-to-four-family residential mortgages; asset,Mortgage real estate investment trusts; securitized multifamily residential mortgages; asset,Mortgage real estate investment trusts; securitized commercial mortgages; asset
1945:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,150,0,0,0,0,151,0,0,151,-1,145,0,0,0,0,145,105,0,40,0,0,0,0,0,0
1968:Q2,383,0,0,0,0,383,10,30,343,0,287,0,0,0,0,287,207,0,80,0,0,0,0,0,0
1968:Q3,538,0,0,0,0,539,26,43,470,-1,495,0,0,0,0,495,335,0,160,0,0,0,0,0,0
1968:Q4,830,0,0,0,0,830,35,75,720,0,766,0,0,0,0,766,566,0,200,0,0,0,0,0,0
1969:Q1,992,0,0,0,0,992,50,149,793,0,982,0,0,0,0,982,625,0,357,0,0,0,0,0,0
1969:Q2,1275,0,0,0,0,1275,84,215,976,0,1098,0,20,0,20,1078,710,0,368,0,0,0,0,0,0
1969:Q3,1498,0,0,0,0,1498,129,304,1065,0,1238,0,84,0,84,1154,776,0,378,0,0,0,0,0,0
1969:Q4,2007,0,0,0,0,2007,213,493,1301,0,1480,0,95,0,95,1385,955,0,430,0,0,0,0,0,0
1970:Q1,2355,0,0,0,0,2355,365,766,1224,0,1526,0,302,0,302,1224,791,0,433,0,0,0,0,0,0
1970:Q2,2743,0,0,0,0,2744,426,892,1426,-1,1745,0,400,0,400,1345,897,0,448,0,0,0,0,0,0
1970:Q3,3152,0,0,0,0,3152,489,1024,1639,0,1814,0,400,0,400,1414,894,0,520,0,0,0,0,0,0
1970:Q4,3904,0,0,0,0,3904,605,1269,2030,0,2179,0,600,0,600,1579,1033,0,546,0,0,0,0,0,0
1971:Q1,4383,0,0,0,0,4322,669,1406,2247,61,2585,0,715,0,715,1870,1288,0,582,0,0,0,0,0,0
1971:Q2,4992,0,0,0,0,4975,772,1618,2585,17,3011,0,979,0,979,2032,1416,0,616,0,0,0,0,0,0
1971:Q3,5619,0,0,0,0,5515,743,1873,2899,104,3455,0,1207,312,895,2248,1615,0,633,0,0,0,0,0,0
1971:Q4,6370,0,0,0,0,6203,785,2178,3240,167,4111,0,1796,780,1016,2315,1635,0,680,0,0,0,0,0,0
1972:Q1,7770,0,0,0,0,7135,886,2794,3455,635,5363,0,2474,1322,1152,2823,2094,0,729,66,0,0,0,0,0
1972:Q2,9132,0,0,0,0,8219,1114,3192,3913,913,6563,0,3217,1937,1280,3146,2215,0,931,200,0,0,0,0,0
1972:Q3,10085,0,0,0,0,8921,1082,3551,4288,1164,7429,0,3930,2600,1330,3206,2163,0,1043,293,0,0,0,0,0
1972:Q4,11690,0,0,0,0,10396,1210,4219,4967,1294,9060,0,4630,3240,1390,4121,2970,0,1151,309,0,0,0,0,0
1973:Q1,13033,0,0,0,0,11269,1306,4504,5459,1764,10275,0,4640,3100,1540,5289,4015,0,1274,346,0,0,0,0,0
1973:Q2,14463,0,0,0,0,12955,1312,5473,6170,1508,11591,0,4839,3121,1718,6405,4993,0,1412,347,0,0,0,0,0
1973:Q3,15790,0,0,0,0,14909,1659,6130,7120,881,12918,0,5690,3920,1770,6870,5453,0,1417,358,0,0,0,0,0
1973:Q4,16610,0,0,0,0,15956,1880,6600,7476,654,14120,0,5915,3975,1940,7781,6330,0,1451,424,0,0,0,0,0
1974:Q1,17096,0,0,0,0,16700,2022,6948,7730,396,15003,0,5450,3380,2070,8935,7417,0,1518,618,0,0,0,0,0
1974:Q2,17407,0,0,0,0,16638,2013,6926,7699,769,15795,0,3641,1564,2077,10146,8619,0,1527,2008,0,0,0,0,0
1974:Q3,16796,0,0,0,0,16342,1757,6717,7868,454,15835,0,2938,895,2043,10955,9400,0,1555,1942,0,0,0,0,0
1974:Q4,16420,0,0,0,0,16145,1708,6765,7672,275,15820,0,2809,710,2099,11160,9580,0,1580,1851,0,0,0,0,0
1975:Q1,14966,0,0,0,0,13894,1462,5629,6803,1072,15240,0,2594,743,1851,10647,9069,0,1578,1999,0,0,0,0,0
1975:Q2,12150,0,0,0,0,11643,1219,4556,5868,507,13056,0,2440,840,1600,9160,7609,0,1551,1456,0,0,0,0,0
1975:Q3,9182,0,0,0,0,9000,938,3397,4665,182,10351,0,2135,784,1351,7736,6228,0,1508,480,0,0,0,0,0
1975:Q4,7271,0,0,0,0,7140,740,2596,3804,131,8851,0,1929,829,1100,6810,5300,0,1510,112,0,0,0,0,0
1976:Q1,6600,0,0,0,0,6510,701,2309,3500,90,8411,0,1622,646,976,6336,4765,0,1571,453,0,0,0,0,0
1976:Q2,5950,0,0,0,0,5880,656,2033,3191,70,7871,0,1607,607,1000,5994,4301,0,1693,270,0,0,0,0,0
1976:Q3,5280,0,0,0,0,5250,607,1768,2875,30,7451,0,1636,663,973,5785,3987,0,1798,30,0,0,0,0,0
1976:Q4,4620,0,0,0,0,4620,553,1515,2552,0,7060,0,1475,559,916,5400,3400,0,2000,185,0,0,0,0,0
1977:Q1,4312,0,0,0,0,4310,524,1407,2379,2,6612,0,1398,514,884,4858,2878,0,1980,356,0,0,0,0,0
1977:Q2,4000,0,0,0,0,4000,494,1299,2207,0,5729,0,1434,585,849,4168,2280,0,1888,127,0,0,0,0,0
1977:Q3,3690,0,0,0,0,3690,463,1193,2034,0,5261,0,1379,523,856,3831,2000,0,1831,51,0,0,0,0,0
1977:Q4,3460,0,0,0,0,3380,431,1088,1861,80,5090,0,1347,518,829,3680,1870,0,1810,63,0,0,0,0,0
1978:Q1,3316,0,0,0,0,3298,418,1049,1831,18,4912,0,1263,541,722,3224,1720,0,1504,425,0,0,0,0,0
1978:Q2,3276,0,0,0,0,3215,406,1011,1798,61,4833,0,1352,650,702,3001,1352,0,1649,480,0,0,0,0,0
1978:Q3,3115,0,0,0,0,3100,389,963,1748,15,4626,0,1377,666,711,3033,1226,0,1807,216,0,0,0,0,0
1978:Q4,3280,0,0,0,0,3050,381,936,1733,230,4670,0,1259,626,633,3120,1160,0,1960,291,0,0,0,0,0
1979:Q1,3307,0,0,0,0,3018,363,935,1720,289,4627,0,1266,658,608,3117,1100,0,2017,244,0,0,0,0,0
1979:Q2,3321,0,0,0,0,2985,345,934,1706,336,4564,0,1380,749,631,3024,1020,0,2004,160,0,0,0,0,0
1979:Q3,3331,0,0,0,0,2953,328,933,1692,378,4496,0,1179,658,521,2896,930,0,1966,421,0,0,0,0,0
1979:Q4,3320,0,0,0,0,2920,310,932,1678,400,4410,0,1361,761,600,2781,830,0,1951,268,0,0,0,0,0
1980:Q1,3300,0,0,0,0,2870,306,911,1653,430,4323,0,1264,648,616,2742,800,0,1942,317,0,0,0,0,0
1980:Q2,3287,0,0,0,0,2820,301,890,1629,467,4243,0,1263,572,691,2681,751,0,1930,299,0,0,0,0,0
1980:Q3,3267,0,0,0,0,2770,296,869,1605,497,4164,0,1134,516,618,2629,710,0,1919,401,0,0,0,0,0
1980:Q4,3230,0,0,0,0,2720,291,849,1580,510,4080,0,1165,533,632,2590,680,0,1910,325,0,0,0,0,0
1981:Q1,3240,0,0,0,0,2700,292,836,1572,540,4064,0,1237,548,689,2561,651,0,1910,266,0,0,0,0,0
1981:Q2,3233,0,0,0,0,2680,292,823,1565,553,4052,0,1199,548,651,2532,620,0,1912,321,0,0,0,0,0
1981:Q3,3204,0,0,0,0,2660,293,810,1557,544,4021,0,1250,550,700,2508,590,0,1918,263,0,0,0,0,0
1981:Q4,3180,0,0,0,0,2641,293,797,1551,539,3980,0,1239,553,686,2490,560,0,1930,251,0,0,0,0,0
1982:Q1,3262,0,0,0,0,2680,290,825,1565,582,4038,0,1203,522,681,2478,526,0,1952,357,0,0,0,0,0
1982:Q2,3271,0,0,0,0,2720,287,853,1580,551,4021,0,1167,491,676,2537,551,0,1986,317,0,0,0,0,0
1982:Q3,3338,0,0,0,0,2760,284,881,1595,578,4053,0,1131,460,671,2593,573,0,2020,329,0,0,0,0,0
1982:Q4,3378,0,0,0,0,2800,280,910,1610,578,4039,0,1095,429,666,2619,576,0,2043,325,0,0,0,0,0
1983:Q1,3416,0,0,0,0,2770,267,920,1583,646,4014,0,1081,412,669,2628,570,0,2058,305,0,0,0,0,0
1983:Q2,3429,0,0,0,0,2740,254,930,1556,689,3962,0,1067,395,672,2547,480,0,2067,348,0,0,0,0,0
