date,All sectors; corporate and foreign bonds; liability,Nonfinancial corporate business; corporate bonds; liability,Domestic financial sectors; corporate and foreign bonds; liability,U.S.-chartered depository institutions; corporate and foreign bonds; liability,Issuers of asset-backed securities; corporate and foreign bonds; liability,Finance companies; corporate and foreign bonds; liability,Real estate investment trusts; corporate and foreign bonds; liability,Security brokers and dealers; corporate and foreign bonds; liability,Holding companies; corporate and foreign bonds; liability,Other financial business; corporate and foreign bonds where the proceeds are down-streamed to broker-dealer subsidiaries by investment banks that are holding-company parents; liability,Rest of the world; bonds; liability,All sectors; corporate and foreign bonds; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Federal government; corporate bonds issued by commercial banking under TARP; asset,State and local governments; corporate and foreign bonds; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds; asset,U.S.-chartered depository institutions; private MBS and CMOs; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds, excluding private MBS and CMOs; asset,Foreign banking offices in the U.S., including IBFs; corporate and foreign bonds; asset,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,Credit unions; corporate and foreign bonds; asset,Credit unions; mortgage-backed securities and other asset-backed bonds; asset,Credit unions; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mortgage-backed securities and other asset-backed bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Life insurance companies; corporate and foreign bonds; asset,Life insurance companies, general accounts; mortgage-backed securities and other asset-backed bonds, including those held by U.S. captive reinsurers; asset,Life insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Private pension funds; corporate and foreign bonds; asset,Federal government retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,Money market funds; corporate and foreign bonds; asset,Mutual funds; corporate and foreign bonds; asset (market value),Closed-end funds; corporate and foreign bonds; asset,Exchange-traded funds; corporate and foreign bonds; asset,Government-sponsored enterprises; corporate and foreign bonds; asset,Government-sponsored enterprises; mortgage-backed securities and other asset-backed bonds; asset,Government-sponsored enterprises; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Finance companies; corporate and foreign bonds; asset,Real estate investment trusts; corporate and foreign bonds; asset,Security brokers and dealers; corporate and foreign bonds (net); asset,Holding companies; corporate and foreign bonds; asset,Other financial business; corporate and foreign bonds, including financial stabilization programs; asset,Rest of the world; corporate bonds; asset,Rest of the world; U.S. mortgage-backed securities and other U.S. asset-backed bonds; asset,Rest of the world: U.S. corporate bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Instrument discrepancies; corporate and foreign bonds (level)
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38812,34874,1067,0,0,1067,0,0,0,0,2871,38812,6281,0,0,4493,0,4493,57,27,0,0,0,679,0,679,22931,0,22931,2600,0,402,0,173,255,0,0,0,0,0,0,587,0,0,327,0,327,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,40901,36498,1281,0,0,1281,0,0,0,0,3122,40901,6010,0,0,4634,0,4634,69,21,0,0,0,718,0,718,24752,0,24752,2828,0,585,0,220,300,0,0,0,0,0,0,447,0,0,317,0,317,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44858,39792,1667,0,0,1667,0,0,0,0,3399,44858,6287,0,0,4587,0,4587,92,14,0,0,0,822,0,822,27471,0,27471,3483,0,701,0,261,330,0,0,0,0,0,0,487,0,0,323,0,323,0
1952:Q1,45869,40873,1558,0,0,1558,0,0,0,0,3438,45869,6134,0,0,4710,0,4710,98,14,0,0,0,902,0,902,28241,0,28241,3684,0,746,0,287,340,0,0,0,0,0,0,383,0,0,330,0,330,0
1952:Q2,47470,42343,1640,0,0,1640,0,0,0,0,3487,47470,6355,0,0,4914,0,4914,109,14,0,0,0,987,0,987,28994,0,28994,3931,0,797,0,303,352,0,0,0,0,0,0,378,0,0,336,0,336,0
1952:Q3,48486,43470,1612,0,0,1612,0,0,0,0,3404,48486,6130,0,0,4859,0,4859,103,14,0,0,0,926,0,926,29699,0,29699,4223,0,923,0,312,364,0,0,0,0,0,0,584,0,0,349,0,349,0
1952:Q4,49605,44497,1682,0,0,1682,0,0,0,0,3426,49605,5997,0,0,4766,0,4766,109,14,0,0,0,967,0,967,30569,0,30569,4548,0,1010,0,342,375,0,0,0,0,0,0,549,0,0,359,0,359,0
1953:Q1,50809,45257,2075,0,0,2075,0,0,0,0,3477,50809,5846,0,0,4846,0,4846,109,15,0,0,0,1006,0,1006,31368,0,31368,4862,0,1141,0,332,386,0,0,0,0,0,0,556,0,0,342,0,342,0
1953:Q2,52246,46270,2624,0,0,2624,0,0,0,0,3352,52246,6113,0,0,4930,0,4930,122,16,0,0,0,1041,0,1041,31947,0,31947,5150,0,1268,0,325,398,0,0,0,0,0,0,576,0,0,360,0,360,0
1953:Q3,53018,46800,2911,0,0,2911,0,0,0,0,3307,53018,5748,0,0,5026,0,5026,130,17,0,0,0,1070,0,1070,32501,0,32501,5409,0,1395,0,324,409,0,0,0,0,0,0,614,0,0,375,0,375,0
1953:Q4,54383,48012,3057,0,0,3057,0,0,0,0,3314,54383,5987,0,0,5025,0,5025,141,18,0,0,0,1092,0,1092,33275,0,33275,5647,0,1526,0,340,420,0,0,0,0,0,0,538,0,0,374,0,374,0
1954:Q1,55366,48789,3092,0,0,3092,0,0,0,0,3485,55366,5719,0,0,5252,0,5252,135,18,0,0,0,1110,0,1110,33914,0,33914,5910,0,1661,0,373,431,0,0,0,0,0,0,476,0,0,367,0,367,0
1954:Q2,56270,49724,3124,0,0,3124,0,0,0,0,3422,56270,5622,0,0,5134,0,5134,125,18,0,0,0,1124,0,1124,34457,0,34457,6210,0,1808,0,402,442,0,0,0,0,0,0,569,0,0,359,0,359,0
1954:Q3,57253,50999,2930,0,0,2930,0,0,0,0,3324,57253,5473,0,0,5112,0,5112,119,18,0,0,0,1136,0,1136,34970,0,34970,6547,0,1960,0,433,452,0,0,0,0,0,0,652,0,0,381,0,381,0
1954:Q4,57570,51547,2759,0,0,2759,0,0,0,0,3264,57570,4852,0,0,5075,0,5075,129,15,0,0,0,1146,0,1146,35378,0,35378,6907,0,2115,0,439,465,0,0,0,0,0,0,669,0,0,380,0,380,0
1955:Q1,58077,52055,2852,0,0,2852,0,0,0,0,3170,58077,4750,0,0,4972,0,4972,147,15,0,0,0,1155,0,1155,35741,0,35741,7220,0,2251,0,430,478,0,0,0,0,0,0,528,0,0,390,0,390,0
1955:Q2,58666,52779,2775,0,0,2775,0,0,0,0,3112,58666,4552,0,0,4775,0,4775,194,16,0,0,0,1164,0,1164,36097,0,36097,7476,0,2391,0,457,494,0,0,0,0,0,0,654,0,0,396,0,396,0
1955:Q3,59269,53253,2944,0,0,2944,0,0,0,0,3072,59269,4681,0,0,4553,0,4553,231,17,0,0,0,1173,0,1173,36476,0,36476,7679,0,2537,0,458,510,0,0,0,0,0,0,549,0,0,405,0,405,0
1955:Q4,60791,54564,3156,0,0,3156,0,0,0,0,3071,60791,4975,0,0,4432,0,4432,256,18,0,0,0,1183,0,1183,37127,0,37127,7853,0,2692,0,473,525,0,0,0,0,0,0,823,0,0,434,0,434,0
1956:Q1,61871,54986,3724,0,0,3724,0,0,0,0,3161,61871,5167,0,0,4326,0,4326,225,19,0,0,0,1190,0,1190,37788,0,37788,8104,0,2839,0,543,540,0,0,0,0,0,0,680,0,0,450,0,450,0
1956:Q2,63142,55946,3954,0,0,3954,0,0,0,0,3242,63142,5615,0,0,4275,0,4275,203,20,0,0,0,1195,0,1195,38190,0,38190,8457,0,2964,0,506,554,0,0,0,0,0,0,693,0,0,470,0,470,0
1956:Q3,64521,57013,4192,0,0,4192,0,0,0,0,3316,64521,5785,0,0,4280,0,4280,177,21,0,0,0,1201,0,1201,38767,0,38767,8921,0,3071,0,640,568,0,0,0,0,0,0,603,0,0,487,0,487,0
1956:Q4,65880,58040,4459,0,0,4459,0,0,0,0,3381,65880,6111,0,0,4088,0,4088,155,22,0,0,0,1210,0,1210,39279,0,39279,9475,0,3165,0,667,585,0,0,0,0,0,0,622,0,0,501,0,501,0
1957:Q1,68001,59510,4893,0,0,4893,0,0,0,0,3598,68001,6854,0,0,4227,0,4227,168,22,0,0,0,1233,0,1233,39908,0,39908,10022,0,3282,0,693,602,0,0,0,0,0,0,457,0,0,533,0,533,0
1957:Q2,69806,60975,5107,0,0,5107,0,0,0,0,3724,69806,7041,0,0,4410,0,4410,168,21,0,0,0,1272,0,1272,40503,0,40503,10524,0,3456,0,773,621,0,0,0,0,0,0,472,0,0,545,0,545,0
1957:Q3,71775,62488,5532,0,0,5532,0,0,0,0,3755,71775,7352,0,0,4571,0,4571,165,20,0,0,0,1326,0,1326,41207,0,41207,10962,0,3713,0,756,640,0,0,0,0,0,0,496,0,0,567,0,567,0
1957:Q4,73584,64072,5696,0,0,5696,0,0,0,0,3816,73584,7176,0,0,4812,0,4812,142,16,0,0,0,1390,0,1390,41951,0,41951,11337,0,4024,0,780,660,0,0,0,0,0,0,705,0,0,591,0,591,0
1958:Q1,76000,65937,5976,0,0,5976,0,0,0,0,4087,76000,7983,0,0,5118,0,5118,138,17,0,0,0,1447,0,1447,42552,0,42552,11702,0,4343,0,831,681,0,0,0,0,0,0,563,0,0,625,0,625,0
1958:Q2,77318,67017,5874,0,0,5874,0,0,0,0,4427,77318,7301,0,0,5593,0,5593,138,20,0,0,0,1491,0,1491,43157,0,43157,12072,0,4622,0,894,703,0,0,0,0,0,0,703,0,0,624,0,624,0
1958:Q3,78520,68463,5542,0,0,5542,0,0,0,0,4515,78520,7760,0,0,5380,0,5380,136,23,0,0,0,1520,0,1520,43711,0,43711,12453,0,4878,0,949,725,0,0,0,0,0,0,361,0,0,624,0,624,0
1958:Q4,80003,69715,5554,0,0,5554,0,0,0,0,4734,80003,7924,0,0,5321,0,5321,130,24,0,0,0,1534,0,1534,44352,0,44352,12842,0,5126,0,935,747,0,0,0,0,0,0,423,0,0,645,0,645,0
1959:Q1,80926,70307,5716,0,0,5716,0,0,0,0,4903,80926,8222,0,0,5218,0,5218,129,24,0,0,0,1545,0,1545,44826,0,44826,13056,0,5360,0,947,806,0,0,0,0,0,0,142,0,0,651,0,651,0
1959:Q2,82054,71169,5917,0,0,5917,0,0,0,0,4968,82054,8114,0,0,5258,0,5258,129,23,0,0,0,1557,0,1557,45380,0,45380,13367,0,5571,0,979,813,0,0,0,0,0,0,194,0,0,669,0,669,0
1959:Q3,83073,71737,6238,0,0,6238,0,0,0,0,5098,83073,8149,0,0,5195,0,5195,129,22,0,0,0,1573,0,1573,45762,0,45762,13644,0,5778,0,995,821,0,0,0,0,0,0,301,0,0,704,0,704,0
1959:Q4,84545,72794,6544,0,0,6544,0,0,0,0,5207,84545,8217,0,0,5071,0,5071,130,19,0,0,0,1595,0,1595,46428,0,46428,14085,0,5986,0,1091,832,0,0,0,0,0,0,502,0,0,589,0,589,0
1960:Q1,86514,73216,7812,0,0,7812,0,0,0,0,5486,86514,9539,0,0,4956,0,4956,129,19,0,0,0,1618,0,1618,46826,0,46826,14422,0,6211,0,1063,906,0,0,0,0,0,0,203,0,0,622,0,622,0
1960:Q2,88154,74107,8436,0,0,8436,0,0,0,0,5611,88154,10010,0,0,4938,0,4938,127,19,0,0,0,1641,0,1641,47274,0,47274,14745,0,6466,0,1115,931,0,0,0,0,0,0,235,0,0,653,0,653,0
1960:Q3,89628,74889,9052,0,0,9052,0,0,0,0,5687,89628,10087,0,0,5020,0,5020,122,19,0,0,0,1663,0,1663,47611,0,47611,15149,0,6768,0,1189,952,0,0,0,0,0,0,375,0,0,673,0,673,0
1960:Q4,91780,76216,9780,0,0,9780,0,0,0,0,5784,91780,10612,0,0,5044,0,5044,119,15,0,0,0,1682,0,1682,48145,0,48145,15699,0,7124,0,1247,955,0,0,0,0,0,0,470,0,0,668,0,668,0
1961:Q1,92676,76577,10230,0,0,10230,0,0,0,0,5869,92676,10639,0,0,5064,0,5064,125,15,0,0,0,1697,0,1697,48548,0,48548,15834,0,7524,0,1312,1021,0,0,0,0,0,0,221,0,0,676,0,676,0
1961:Q2,95034,78530,10462,0,0,10462,0,0,0,0,6042,95034,11481,0,0,4923,0,4923,130,14,0,0,0,1706,0,1706,49221,0,49221,16230,0,7956,0,1322,1008,0,0,0,0,0,0,362,0,0,681,0,681,0
1961:Q3,95728,79237,10382,0,0,10382,0,0,0,0,6109,95728,11026,0,0,4816,0,4816,144,13,0,0,0,1710,0,1710,49819,0,49819,16489,0,8406,0,1355,989,0,0,0,0,0,0,289,0,0,672,0,672,0
1961:Q4,97334,80611,10502,0,0,10502,0,0,0,0,6221,97334,10840,0,0,4674,0,4674,124,9,0,0,0,1712,0,1712,50607,0,50607,16882,0,8852,0,1587,973,0,0,0,0,0,0,405,0,0,669,0,669,0
1962:Q1,98531,81437,10672,0,0,10672,0,0,0,0,6422,98531,10973,0,0,4712,0,4712,179,9,0,0,0,1780,0,1780,50972,0,50972,17116,0,9305,0,1452,1016,0,0,0,0,0,0,231,0,0,786,0,786,0
1962:Q2,100231,82981,10513,0,0,10513,0,0,0,0,6737,100231,10954,0,0,4516,0,4516,252,9,0,0,0,1890,0,1890,51677,0,51677,17509,0,9772,0,1593,986,0,0,0,0,0,0,308,0,0,765,0,765,0
1962:Q3,100703,83558,10314,0,0,10314,0,0,0,0,6831,100703,10193,0,0,4485,0,4485,262,9,0,0,0,1998,0,1998,52212,0,52212,17647,0,10236,0,1538,965,0,0,0,0,0,0,443,0,0,715,0,715,0
1962:Q4,102691,84643,10833,0,0,10833,0,0,0,0,7215,102691,10211,0,0,4573,0,4573,242,9,0,0,0,2060,0,2060,53074,0,53074,18101,0,10670,0,1617,975,0,0,0,0,0,0,465,0,0,694,0,694,0
1963:Q1,104533,85579,11245,0,0,11245,0,0,0,0,7709,104533,10656,0,0,4594,0,4594,234,11,0,0,0,2074,0,2074,53821,0,53821,18444,0,11117,0,1612,1079,0,0,0,0,0,0,239,0,0,652,0,652,0
1963:Q2,106138,86695,11227,0,0,11227,0,0,0,0,8216,106138,10389,0,0,4430,0,4430,202,15,0,0,0,2041,0,2041,54759,0,54759,18847,0,11608,0,1609,1162,0,0,0,0,0,0,366,0,0,710,0,710,0
1963:Q3,106914,87225,11402,35,0,11367,0,0,0,0,8287,106914,9877,0,0,4221,0,4221,136,18,0,0,0,2008,0,2008,55247,0,55247,19267,0,12165,0,1705,1251,0,0,0,0,0,0,314,0,0,705,0,705,0
1963:Q4,109006,88414,12384,233,0,12151,0,0,0,0,8208,109006,10143,0,0,3935,0,3935,107,19,0,0,0,2019,0,2019,55899,0,55899,19560,0,12783,0,1788,1313,0,0,0,0,0,0,689,0,0,751,0,751,0
1964:Q1,110663,89091,13475,420,0,13055,0,0,0,0,8097,110663,9961,0,0,4414,0,4414,101,17,0,0,0,2069,0,2069,56520,0,56520,19798,0,13400,0,1781,1430,0,0,0,0,0,0,390,0,0,782,0,782,0
1964:Q2,112651,90362,14040,533,0,13507,0,0,0,0,8249,112651,9509,0,0,4457,0,4457,103,12,0,0,0,2146,0,2146,57240,0,57240,20389,0,13948,0,1927,1464,0,0,0,0,0,0,640,0,0,816,0,816,0
1964:Q3,113888,91058,14625,677,0,13948,0,0,0,0,8205,113888,9628,0,0,4405,0,4405,127,7,0,0,0,2244,0,2244,57585,0,57585,20695,0,14455,0,2001,1486,0,0,0,0,0,0,356,0,0,899,0,899,0
1964:Q4,116608,92408,15525,773,0,14752,0,0,0,0,8675,116608,10290,0,0,4254,0,4254,122,1,0,0,0,2359,0,2359,58218,0,58218,21206,0,14944,0,2149,1499,0,0,0,0,0,0,607,0,0,959,0,959,0
1965:Q1,118122,93342,16015,893,0,15122,0,0,0,0,8765,118122,10113,0,0,4312,0,4312,121,1,0,0,0,2497,0,2497,58723,0,58723,21626,0,15441,0,2334,1578,0,0,0,0,0,0,399,0,0,977,0,977,0
1965:Q2,119857,94941,16081,1490,0,14591,0,0,0,0,8835,119857,9669,0,0,4327,0,4327,122,3,0,0,0,2666,0,2666,59382,0,59382,22084,0,15970,0,2406,1565,0,0,0,0,0,0,787,0,0,876,0,876,0
1965:Q3,121496,96634,15885,1517,0,14368,0,0,0,0,8977,121496,9965,0,0,4174,0,4174,136,6,0,0,0,2843,0,2843,60101,0,60101,22446,0,16576,0,2472,1544,0,0,0,0,0,0,372,0,0,861,0,861,0
1965:Q4,123125,97260,16730,1590,0,15140,0,0,0,0,9135,123125,9001,0,0,3979,0,3979,144,8,0,0,0,3004,0,3004,61043,0,61043,22703,0,17245,0,2554,1527,0,0,0,0,0,0,914,0,0,1003,0,1003,0
1966:Q1,126838,100223,17121,1633,0,15488,0,0,0,0,9494,126838,9729,0,0,3966,0,3966,135,12,0,0,0,3150,0,3150,62225,0,62225,23740,0,17964,0,2760,1585,0,0,0,0,0,0,363,0,0,1209,0,1209,0
1966:Q2,129857,102790,17438,1694,0,15744,0,0,0,0,9629,129857,9727,0,0,3977,0,3977,124,17,0,0,0,3283,0,3283,62795,0,62795,24162,0,18730,0,2824,1561,0,0,0,0,0,0,867,0,0,1790,0,1790,0
1966:Q3,132821,105223,17862,1694,0,16168,0,0,0,0,9736,132821,11275,0,0,4122,0,4122,147,22,0,0,0,3419,0,3419,63156,0,63156,24618,0,19487,0,2707,1542,0,0,0,0,0,0,378,0,0,1948,0,1948,0
1966:Q4,135674,107474,18330,1694,0,16636,0,0,0,0,9870,135674,11121,0,0,4281,0,4281,168,25,0,0,0,3575,0,3575,63396,0,63396,25231,0,20184,0,2915,1533,0,0,0,0,0,0,1028,0,0,2217,0,2217,0
1967:Q1,139406,110617,18630,1897,0,16733,0,0,0,0,10159,139406,12090,0,0,5121,0,5121,184,33,0,0,0,3748,0,3748,64266,0,64266,25647,0,20990,0,2885,1606,0,0,0,0,0,0,456,0,0,2380,0,2380,0
1967:Q2,142895,114236,18263,1920,0,16343,0,0,0,0,10396,142895,12180,0,0,6116,0,6116,228,41,0,0,0,3904,0,3904,64953,0,64953,25806,0,21763,0,2660,1611,0,0,0,0,0,0,992,0,0,2641,0,2641,0
1967:Q3,148001,118745,18471,1955,0,16516,0,0,0,0,10785,148001,13297,0,0,6911,0,6911,294,50,0,0,0,4079,0,4079,65947,0,65947,26224,0,22837,0,2676,1626,0,0,0,0,0,0,1178,0,0,2882,0,2882,0
1967:Q4,152516,122132,19298,1963,0,17335,0,0,0,0,11086,152516,15111,0,0,7090,0,7090,334,60,0,0,0,4293,0,4293,67192,0,67192,26355,0,23921,0,2565,1661,0,0,0,0,0,0,1399,0,0,2535,0,2535,0
