date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
1967:Q1,7747,156,0,0,0,1952,0,-1260,68,-80,3224,660,580,0,4399,4399,0,7748
1967:Q2,8090,32,68,0,0,2700,0,-616,300,-76,3092,664,576,0,4050,4050,0,8092
1967:Q3,8513,-136,208,0,0,2932,0,-1352,60,-72,4296,312,760,0,4437,4437,0,8512
1967:Q4,8931,-312,368,0,0,3796,0,-572,104,-72,4336,312,764,0,4003,4003,0,8932
1968:Q1,9281,248,-212,0,0,2164,0,216,-108,124,1932,580,1080,0,5421,5421,0,9284
1968:Q2,9737,152,-132,0,0,3124,0,-396,1080,-260,2700,484,1172,0,4937,4937,0,9740
1968:Q3,10287,104,284,0,0,3036,0,-388,440,48,2936,24,1284,0,5555,5555,0,10288
1968:Q4,10699,-208,336,0,0,3680,0,-408,1088,-8,3008,348,1732,0,4811,4811,0,10700
1969:Q1,10837,480,-712,0,0,3184,0,-284,108,16,3344,256,1208,0,6421,6421,0,10840
1969:Q2,11325,-728,364,0,0,3792,0,-140,112,-72,3892,196,2120,0,5581,5581,0,11328
1969:Q3,11827,56,272,0,0,4400,0,-476,348,-80,4608,300,1720,0,5079,5079,0,11828
1969:Q4,12223,-80,-164,0,0,3084,0,-1036,56,-68,4132,100,2104,0,7179,7179,0,12224
1970:Q1,12370,-292,-128,0,0,3840,0,-408,104,-92,4236,300,1896,0,6754,6754,0,12372
1970:Q2,12977,280,284,0,0,3320,0,-624,68,-596,4472,632,2244,0,6217,6217,0,12980
1970:Q3,13658,-128,-168,0,0,5332,0,380,-132,-104,5188,-76,1520,0,7178,7178,0,13660
1970:Q4,14279,456,184,0,0,2664,0,-680,-340,-404,4088,524,2888,0,7563,7563,0,14280
1971:Q1,14618,-144,80,0,0,3704,0,-896,-308,32,4876,396,2768,0,7814,7814,0,14620
1971:Q2,15470,272,-212,0,0,3032,0,-1816,-56,8,4896,604,3052,0,8722,8722,0,15472
1971:Q3,16373,120,-24,0,0,2556,0,-220,192,32,2552,32,3844,0,9845,9845,0,16376
1971:Q4,17125,392,-104,0,0,2332,0,-1900,384,408,3440,440,3076,0,10989,10989,0,17128
1972:Q1,17676,620,-436,0,0,4240,0,-1052,496,308,4488,84,2052,0,11116,11116,0,17676
1972:Q2,18396,176,-24,0,0,4240,0,360,528,948,2404,-208,3616,0,10596,10596,0,18396
1972:Q3,19300,-96,128,0,0,4308,0,-320,576,-1372,5424,332,4440,0,10188,10188,0,19300
1972:Q4,19968,176,504,0,0,4692,0,-184,644,-376,4608,520,4600,0,9476,9476,0,19968
1973:Q1,20152,-620,452,0,0,4908,0,360,716,-1628,5460,648,5388,0,9376,9376,0,20152
1973:Q2,20956,208,500,0,0,5144,0,-908,784,-344,5612,756,3360,0,10988,10988,0,20956
1973:Q3,21747,-256,924,0,0,5896,0,-1728,1440,456,5728,268,2244,0,12671,12671,0,21748
1973:Q4,22295,-224,560,0,0,4100,0,-2080,1976,164,4040,1012,2652,0,14195,14195,0,22296
1974:Q1,22367,-740,348,0,0,5060,0,-2672,1932,616,5184,544,2940,0,14215,14215,0,22368
1974:Q2,23247,-216,1184,0,0,6692,0,184,1312,-1604,6800,212,2152,0,13223,13223,0,23248
1974:Q3,24246,-140,760,0,0,7400,0,-1484,1024,-784,8644,372,1056,0,14798,14798,0,24248
1974:Q4,25086,-64,680,0,0,3704,0,280,728,-1060,3756,1116,4128,0,15522,15522,0,25088
1975:Q1,25335,252,1072,0,0,7232,0,-104,544,-776,7568,12,1628,0,15139,15139,0,25336
1975:Q2,26307,60,-492,0,0,9520,0,2624,468,-244,6672,420,1996,0,14803,14803,0,26308
1975:Q3,27096,-144,-1384,0,0,7504,0,1332,836,712,4624,260,2908,0,17952,17952,0,27096
1975:Q4,27420,-84,-684,0,0,11864,0,-32,836,4136,6924,-1332,3020,0,14636,14636,0,27420
1976:Q1,27386,-40,-424,0,0,9368,0,2072,1128,1012,5156,4,2128,0,16350,16350,0,27388
1976:Q2,27746,80,272,0,0,14524,0,2296,1276,3828,7124,320,3316,0,9234,9234,0,27748
1976:Q3,28636,-124,-312,0,0,9124,0,1072,1680,932,5440,8,3296,0,16644,16644,0,28636
1976:Q4,29464,48,372,0,0,3964,0,628,2244,-92,1184,428,3724,0,20928,20928,0,29464
1977:Q1,29733,-120,-200,0,0,6000,0,2620,6304,-1952,-972,-192,3232,0,21013,21013,0,29732
1977:Q2,30969,256,1212,0,0,12324,0,7424,828,3024,1048,720,3232,0,13225,13225,0,30968
1977:Q3,32102,80,328,0,0,13020,0,756,880,-288,11672,-968,4088,0,15554,15554,0,32100
1977:Q4,32746,-160,-268,0,0,13520,0,12,2984,-48,10572,1676,4160,0,13818,13818,0,32744
1978:Q1,32600,208,1368,0,0,13156,0,3456,5532,-632,4800,164,2564,0,15140,15140,0,32600
1978:Q2,33572,220,1140,0,0,17944,0,5884,1532,1384,9144,656,2528,0,11084,11084,0,33572
1978:Q3,34700,128,1572,0,0,13820,0,1792,2280,-256,10004,644,2864,0,15672,15672,0,34700
1978:Q4,35596,-136,-328,0,0,20016,0,-356,8176,1132,11064,716,2560,0,12768,12768,0,35596
1979:Q1,35745,296,1572,0,0,7848,0,4892,1868,488,600,844,1072,0,24113,24113,0,35748
1979:Q2,37033,80,388,0,0,17528,0,10600,256,-824,7496,880,2988,0,15169,15169,0,37036
1979:Q3,38226,20,844,0,0,3888,0,-160,-1724,52,5720,1220,8060,0,24194,24194,0,38228
1979:Q4,38918,328,1612,0,0,8920,0,5676,5180,120,-2056,1128,4472,0,22458,22458,0,38920
1980:Q1,39183,200,444,0,0,21768,0,5812,2484,764,12708,1800,3584,0,11387,11315,72,39188
1980:Q2,40016,192,-52,0,0,29900,0,5692,7208,-304,17304,964,3516,0,5496,5428,68,40020
1980:Q3,41572,-300,12,0,0,15076,0,9668,1076,-416,4748,1208,5212,0,20364,20292,72,41576
1980:Q4,42963,56,500,0,0,10572,0,3712,4124,552,2184,1172,9016,0,21647,21579,68,42968
1981:Q1,43524,724,1692,0,0,12772,0,6020,4472,-556,2836,1104,4432,0,22800,22728,72,43528
1981:Q2,45540,-272,-1384,0,0,27128,0,8396,2988,300,15444,1744,8528,0,9796,9728,68,45544
1981:Q3,47507,108,2140,0,0,14748,0,2736,4692,-544,7864,2392,10700,0,17419,17347,72,47512
1981:Q4,48886,-476,-1932,0,0,26012,0,9396,8516,-12,8112,1276,4620,0,19386,19314,72,48892
1982:Q1,49176,112,636,0,0,23944,0,7924,11948,-820,4892,1884,5952,0,16648,16528,120,49180
1982:Q2,51200,432,2552,0,0,24556,0,11488,2624,788,9656,944,2212,0,20504,20380,124,51204
1982:Q3,53521,304,1892,0,0,22836,0,13728,13784,-1192,-3484,1764,-3044,0,29769,29645,124,53524
1982:Q4,55461,580,3636,0,0,10544,0,4196,11884,-1676,-3860,424,18984,0,21293,21169,124,55464
1983:Q1,56086,884,5432,0,656,12588,656,11656,4116,-3072,-768,840,19644,0,16042,15902,140,56092
1983:Q2,58275,96,1628,0,968,17856,968,15440,3268,480,-2300,464,13260,0,24003,23795,208,58280
1983:Q3,59999,-260,-1808,0,1156,-6852,1156,10424,1000,-240,-19192,200,25684,0,41879,41595,284,60004
1983:Q4,60603,956,5920,0,1220,5412,1220,10528,11384,-1692,-16028,2008,21364,0,23723,23375,348,60608
1984:Q1,60326,892,5276,0,1284,26236,1284,22604,3760,604,-2016,300,7120,0,19218,19358,-140,60336
1984:Q2,60805,668,3956,0,1344,42492,1344,18464,-5564,452,27796,836,1832,0,9677,9817,-140,60816
1984:Q3,62333,852,6536,0,1532,31268,1532,20616,2764,-784,7140,104,11076,0,10965,11033,-68,62344
1984:Q4,63628,-16,-3068,0,1840,34972,1840,14332,15264,-2136,5672,1176,9064,0,19660,19872,-212,63640
1985:Q1,63723,1360,8500,0,2156,-2712,2156,23632,748,64,-29312,256,21068,0,33095,33027,68,63736
1985:Q2,65947,2188,2116,0,2468,22240,2468,13472,-10616,-1088,18004,104,39472,0,-2641,-2713,72,65960
1985:Q3,68048,-1560,-1860,0,2656,34072,2656,10880,2860,-212,17888,-96,16384,0,18452,18308,144,68060
1985:Q4,69235,-580,-3288,5708,2720,22968,2720,21892,-13728,-388,12472,-48,37356,0,4399,4199,200,69248
1986:Q1,68796,-204,2980,268,2856,24168,2856,38580,-12892,-760,-3616,364,25240,8,13116,12720,396,68812
1986:Q2,70714,-400,444,-56,3064,29736,3064,13916,4492,1032,7232,-812,19680,-2652,21710,21346,364,70728
1986:Q3,72874,1196,-10352,428,3500,51152,3500,24388,7524,-644,16384,668,25836,-3408,3854,3890,-36,72888
1986:Q4,74458,2332,-6816,552,3660,72868,3660,42900,968,-1304,26644,744,25400,-1588,-22694,-22818,124,74472
1987:Q1,74430,2508,-9952,128,3764,46252,3764,29944,7080,-624,6088,-868,34216,6700,-8318,-8590,272,74448
1987:Q2,76749,2368,-6600,512,3836,24336,3836,26752,5576,212,-12040,-420,45544,6164,1009,1029,-20,76768
1987:Q3,78869,1644,-2936,208,3036,17164,3036,23644,6464,164,-16144,720,32824,6116,20093,20677,-584,78888
1987:Q4,79943,528,788,312,1372,39848,1372,13808,136,644,23888,-308,16904,-3288,23787,23979,-192,79964
1988:Q1,80139,32,2180,388,-100,16220,-100,18816,-10536,-564,8604,468,24460,-1508,37999,38175,-176,80164
1988:Q2,81463,972,416,632,-1388,32452,-1388,-2520,-3036,300,39096,756,15576,-1224,33271,33447,-176,81488
1988:Q3,84178,-1436,2492,224,-1728,21000,-1728,23200,-44,-480,52,-204,36092,-3740,31478,31362,116,84204
1988:Q4,86510,-1304,2512,12,-1140,16324,-1140,7676,-16840,-356,26984,68,15276,-1752,56514,50094,6420,86536
1989:Q1,87135,-2900,4028,396,548,42276,548,1592,10292,-264,30108,-1884,7408,-812,38075,35611,2464,87160
1989:Q2,90649,-368,1180,684,132,42748,132,2428,24032,-256,16412,-56,14104,-232,32457,27713,4744,90676
1989:Q3,94052,-1180,1728,44,692,20964,692,6136,13860,-268,544,708,14004,448,56644,51520,5124,94080
1989:Q4,96211,-508,840,724,-3292,18944,-3292,-3208,15240,-272,10476,16,20680,-1616,60423,56147,4276,96240
1990:Q1,96085,2476,-2324,552,1064,65900,1064,41472,12044,844,10476,-472,-4644,-744,34277,32917,1360,96120
1990:Q2,99145,2112,-2104,-464,5764,28940,5764,22148,7484,28,-6484,248,18212,3524,42913,38033,4880,99180
1990:Q3,102426,1592,-604,-300,1640,9688,1640,7384,20680,-964,-19052,272,29220,-3164,64082,64898,-816,102460
1990:Q4,104892,1032,-404,212,1652,-25484,1652,-7648,6384,912,-26784,3000,47328,2396,75160,74336,824,104924
1991:Q1,105311,-2432,27828,-276,6208,18348,6208,35636,336,-436,-23396,2004,35064,6104,12463,28147,-15684,105344
1991:Q2,109592,1096,-9712,328,10920,15736,10920,6436,6864,492,-8976,-960,22300,2640,67244,63832,3412,109624
1991:Q3,114423,-6408,-9312,808,17420,-11684,17420,-59220,-400,248,30268,1412,40304,6604,75279,74203,1076,114452
1991:Q4,118335,3076,-4296,-224,-8008,-15192,-8008,6184,-26052,280,12404,844,58680,4732,78723,80367,-1644,118364
1992:Q1,120748,612,-1688,80,1724,38752,1724,25640,-10520,-260,22168,-2852,8432,4452,71236,70768,468,120788
1992:Q2,123867,1900,-192,36,5544,20872,5544,24220,-24688,-80,15876,3572,20896,4864,66375,66363,12,123908
1992:Q3,127432,7896,-1792,444,11552,65600,11552,78872,-4800,-624,-19400,-3040,2624,792,43356,46172,-2816,127472
1992:Q4,128673,424,-3872,64,4428,25064,4428,23428,-33100,268,30040,588,23440,6944,71593,69565,2028,128716
1993:Q1,126558,-2716,2596,1360,2156,-4944,2156,5664,-28084,60,15260,-3232,62580,4892,63866,63494,372,126612
1993:Q2,128598,1172,4040,1280,4500,46928,4500,25712,-2648,628,18736,-4556,-2728,5372,72590,72238,352,128652
1993:Q3,131046,-2676,-188,92,-25828,68292,-25828,41820,8284,2420,41596,2196,24872,7268,57018,58710,-1692,131100
1993:Q4,132586,4636,-9296,1340,2248,4848,2248,-17532,6588,596,12948,-2104,48296,6744,75874,76646,-772,132644
1994:Q1,131521,-4572,-1444,1552,-200,21336,-200,27540,19168,-2620,-22552,432,25812,4284,84321,85469,-1148,131556
1994:Q2,134867,1272,-1396,1004,10040,-1976,10040,-14776,17704,516,-15460,1216,33104,5240,86363,85355,1008,134904
1994:Q3,138154,5372,-11536,176,8736,2616,8736,-13084,-26496,1036,32424,332,8768,8540,115150,112922,2228,138192
1994:Q4,139793,-1600,-612,604,10928,15712,10928,-7264,5928,32,6088,700,36584,58460,19017,19193,-176,139832
1995:Q1,138291,-6392,212,452,6776,81648,6776,37676,19172,-236,18260,792,-18200,15432,57571,59011,-1440,138332
1995:Q2,141470,-1808,232,1488,6952,5508,6952,-31008,13608,312,15644,644,24636,12692,91126,89710,1416,141512
1995:Q3,144924,1832,6460,684,-7496,8900,-7496,-23756,32500,972,6680,752,34200,7332,92260,91248,1012,144968
1995:Q4,147063,-3752,1020,1120,8376,25380,8376,-12352,27704,1824,-172,768,32024,7456,74671,74803,-132,147108
1996:Q1,147662,2260,2020,1744,-20196,60704,-20196,21336,24452,1764,33348,752,-8088,-1324,109790,108370,1420,147700
1996:Q2,149777,4444,-4392,1052,7004,56780,7004,30156,3932,-3896,19584,792,-8996,92,93001,91873,1128,149816
1996:Q3,153367,5212,-6388,1580,-2424,-46312,-2424,-30512,-20708,-3204,10536,808,91956,1532,107403,108083,-680,153408
1996:Q4,155107,1120,76,2416,2596,39856,2596,-2592,14340,260,25252,832,-2220,8572,101859,100855,1004,155152
1997:Q1,153323,-8452,10912,2936,-3308,78124,-3308,-6612,40564,5960,41520,848,2588,-220,69895,72227,-2332,153368
1997:Q2,156667,13868,-10876,1452,19352,66068,19352,15076,140,32,31468,856,-18208,17256,66899,65951,948,156712
1997:Q3,160223,-9260,2084,4568,-340,61548,-336,34496,11240,1632,14516,888,20680,9260,70795,70163,632,160268
1997:Q4,162281,-4764,-1612,-748,-14128,30444,-14132,-18136,21592,-3856,44976,900,32696,7656,111837,110849,988,162328
1998:Q1,160911,5408,-3068,264,33244,61132,33244,-27404,12440,2308,40544,4264,-55792,21548,93911,93163,748,160964
1998:Q2,165023,3776,-128,196,-4352,70352,-4352,4256,31700,588,38160,8032,-31164,-200,118511,117907,604,165080
1998:Q3,169328,556,384,172,9880,56772,9880,-21548,27116,-304,41628,3272,-18424,-1048,117764,118216,-452,169384
1998:Q4,171879,8896,1064,588,-3108,45332,-3108,19012,5136,4404,19888,3644,-7220,27696,94987,94951,36,171936
1999:Q1,170589,-9492,744,2388,14020,72236,14020,-4452,28008,5136,29524,1532,-48660,15404,122417,120633,1784,170644
1999:Q2,174825,7400,-2072,1688,-512,15064,-512,9308,7304,-5180,4144,4700,20908,-3924,131573,130509,1064,174880
1999:Q3,178946,-320,1876,3072,-6600,39260,-6600,-36000,-8372,-476,90708,-452,22024,-12244,132330,132146,184,179000
1999:Q4,181017,-580,-1712,192,4464,42396,4464,-23864,64732,-312,-2624,7328,-18908,9092,138745,136569,2176,181072
2000:Q1,181117,7500,2832,64,20100,54788,20100,-7696,-18088,-576,61048,-5548,-27904,14628,114657,115205,-548,181180
2000:Q2,183404,6712,1876,1228,-884,14692,9008,-8056,75164,-256,-61168,1764,28480,41684,87852,86832,1020,183472
2000:Q3,188162,-888,7476,3228,-13288,23496,-3388,-37660,63164,-2256,3636,-11840,176656,60472,-57150,-58098,948,188232
2000:Q4,191340,-10484,-12528,1224,-8084,66288,1808,-25656,79164,-2260,13232,1364,-130656,82724,201492,198504,2988,191412
2001:Q1,190512,-6488,-524,2428,-15284,-92912,-5392,-6860,-11236,944,-70368,-1040,178732,45864,79736,75200,4536,190568
2001:Q2,196023,19912,1876,2428,10716,43496,20608,23144,74364,-656,-73964,-5436,53516,10068,59447,59271,176,196080
2001:Q3,201539,312,-524,2028,-9288,-118508,612,-65260,-65236,-4256,15632,1764,212304,17160,96291,93023,3268,201596
2001:Q4,204689,-7684,-128,2024,-9684,-42908,208,-46856,9564,3744,-9568,160,15892,30188,216829,217673,-844,204736
2002:Q1,203031,2712,3076,2028,-6084,29488,3808,32744,4764,-3860,-7968,-236,81104,35288,55655,60083,-4428,203048
2002:Q2,207742,-7724,508,-4016,1564,-92156,-2612,-57416,-22688,476,-9916,-560,95664,12996,201466,211702,-10236,207756
2002:Q3,212163,3204,-1900,-9912,-584,-215852,-4664,-39224,-8372,-148,-163444,2692,556424,74804,-196713,-188365,-8348,212172
2002:Q4,213961,9716,-184,31588,1856,-120864,14864,-20888,-5900,80,-109020,1620,-306344,26180,570393,546453,23940,213968
2003:Q1,210807,7596,-744,18064,1064,-17644,8500,19232,47324,52,-92752,-6532,366216,68464,-225677,-228001,2324,210820
2003:Q2,214538,-7172,-4620,-76012,-4472,33204,-35772,44492,76080,-32,-51564,10264,-642704,-23768,929818,904990,24828,214552
2003:Q3,218293,-784,752,-43108,-2536,50032,-20284,-46868,66976,7452,42756,8432,-17052,28212,194345,187777,6568,218308
