date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
1987:Q2,19187,592,-1650,128,959,6084,959,6688,1394,53,-3010,-105,11386,1541,252,257,-5,19192
1987:Q3,19717,411,-734,52,759,4291,759,5911,1616,41,-4036,180,8206,1529,5023,5169,-146,19722
1987:Q4,19986,132,197,78,343,9962,343,3452,34,161,5972,-77,4226,-822,5947,5995,-48,19991
1988:Q1,20035,8,545,97,-25,4055,-25,4704,-2634,-141,2151,117,6115,-377,9500,9544,-44,20041
1988:Q2,20366,243,104,158,-347,8113,-347,-630,-759,75,9774,189,3894,-306,8318,8362,-44,20372
1988:Q3,21045,-359,623,56,-432,5250,-432,5800,-11,-120,13,-51,9023,-935,7870,7841,29,21051
1988:Q4,21628,-326,628,3,-285,4081,-285,1919,-4210,-89,6746,17,3819,-438,14129,12524,1605,21634
1989:Q1,21784,-725,1007,99,137,10569,137,398,2573,-66,7527,-471,1852,-203,9519,8903,616,21790
1989:Q2,22662,-92,295,171,33,10687,33,607,6008,-64,4103,-14,3526,-58,8114,6928,1186,22669
1989:Q3,23513,-295,432,11,173,5241,173,1534,3465,-67,136,177,3501,112,14161,12880,1281,23520
1989:Q4,24053,-127,210,181,-823,4736,-823,-802,3810,-68,2619,4,5170,-404,15106,14037,1069,24060
1990:Q1,24021,619,-581,138,266,16475,266,10368,3011,211,2619,-118,-1161,-186,8569,8229,340,24030
1990:Q2,24786,528,-526,-116,1441,7235,1441,5537,1871,7,-1621,62,4553,881,10728,9508,1220,24795
1990:Q3,25607,398,-151,-75,410,2422,410,1846,5170,-241,-4763,68,7305,-791,16021,16225,-204,25615
1990:Q4,26223,258,-101,53,413,-6371,413,-1912,1596,228,-6696,750,11832,599,18790,18584,206,26231
1991:Q1,26328,-608,6957,-69,1552,4587,1552,8909,84,-109,-5849,501,8766,1526,3116,7037,-3921,26336
1991:Q2,27398,274,-2428,82,2730,3934,2730,1609,1716,123,-2244,-240,5575,660,16811,15958,853,27406
1991:Q3,28606,-1602,-2328,202,4355,-2921,4355,-14805,-100,62,7567,353,10076,1651,18820,18551,269,28613
1991:Q4,29584,769,-1074,-56,-2002,-3798,-2002,1546,-6513,70,3101,211,14670,1183,19681,20092,-411,29591
1992:Q1,30187,153,-422,20,431,9688,431,6410,-2630,-65,5542,-713,2108,1113,17809,17692,117,30197
1992:Q2,30967,475,-48,9,1386,5218,1386,6055,-6172,-20,3969,893,5224,1216,16594,16591,3,30977
1992:Q3,31858,1974,-448,111,2888,16400,2888,19718,-1200,-156,-4850,-760,656,198,10839,11543,-704,31868
1992:Q4,32168,106,-968,16,1107,6266,1107,5857,-8275,67,7510,147,5860,1736,17898,17391,507,32179
1993:Q1,31640,-679,649,340,539,-1236,539,1416,-7021,15,3815,-808,15645,1223,15967,15874,93,31653
1993:Q2,32150,293,1010,320,1125,11732,1125,6428,-662,157,4684,-1139,-682,1343,18148,18060,88,32163
1993:Q3,32762,-669,-47,23,-6457,17073,-6457,10455,2071,605,10399,549,6218,1817,14255,14678,-423,32775
1993:Q4,33147,1159,-2324,335,562,1212,562,-4383,1647,149,3237,-526,12074,1686,18969,19162,-193,33161
1994:Q1,32880,-1143,-361,388,-50,5334,-50,6885,4792,-655,-5638,108,6453,1071,21080,21367,-287,32889
1994:Q2,33717,318,-349,251,2510,-494,2510,-3694,4426,129,-3865,304,8276,1310,21591,21339,252,33726
1994:Q3,34539,1343,-2884,44,2184,654,2184,-3271,-6624,259,8106,83,2192,2135,28788,28231,557,34548
1994:Q4,34948,-400,-153,151,2732,3928,2732,-1816,1482,8,1522,175,9146,14615,4754,4798,-44,34958
1995:Q1,34573,-1598,53,113,1694,20412,1694,9419,4793,-59,4565,198,-4550,3858,14393,14753,-360,34583
1995:Q2,35368,-452,58,372,1738,1377,1738,-7752,3402,78,3911,161,6159,3173,22782,22428,354,35378
1995:Q3,36231,458,1615,171,-1874,2225,-1874,-5939,8125,243,1670,188,8550,1833,23065,22812,253,36242
1995:Q4,36766,-938,255,280,2094,6345,2094,-3088,6926,456,-43,192,8006,1864,18668,18701,-33,36777
1996:Q1,36916,565,505,436,-5049,15176,-5049,5334,6113,441,8337,188,-2022,-331,27448,27093,355,36925
1996:Q2,37444,1111,-1098,263,1751,14195,1751,7539,983,-974,4896,198,-2249,23,23250,22968,282,37454
1996:Q3,38342,1303,-1597,395,-606,-11578,-606,-7628,-5177,-801,2634,202,22989,383,26851,27021,-170,38352
1996:Q4,38777,280,19,604,649,9964,649,-648,3585,65,6313,208,-555,2143,25465,25214,251,38788
1997:Q1,38331,-2113,2728,734,-827,19531,-827,-1653,10141,1490,10380,212,647,-55,17474,18057,-583,38342
1997:Q2,39167,3467,-2719,363,4838,16517,4838,3769,35,8,7867,214,-4552,4314,16725,16488,237,39178
1997:Q3,40056,-2315,521,1142,-85,15387,-84,8624,2810,408,3629,222,5170,2315,17699,17541,158,40067
1997:Q4,40570,-1191,-403,-187,-3532,7611,-3533,-4534,5398,-964,11244,225,8174,1914,27959,27712,247,40582
1998:Q1,40228,1352,-767,66,8311,15283,8311,-6851,3110,577,10136,1066,-13948,5387,23478,23291,187,40241
1998:Q2,41256,944,-32,49,-1088,17588,-1088,1064,7925,147,9540,2008,-7791,-50,29628,29477,151,41270
1998:Q3,42332,139,96,43,2470,14193,2470,-5387,6779,-76,10407,818,-4606,-262,29441,29554,-113,42346
1998:Q4,42970,2224,266,147,-777,11333,-777,4753,1284,1101,4972,911,-1805,6924,23747,23738,9,42984
1999:Q1,42647,-2373,186,597,3505,18059,3505,-1113,7002,1284,7381,383,-12165,3851,30604,30158,446,42661
1999:Q2,43706,1850,-518,422,-128,3766,-128,2327,1826,-1295,1036,1175,5227,-981,32893,32627,266,43720
1999:Q3,44737,-80,469,768,-1650,9815,-1650,-9000,-2093,-119,22677,-113,5506,-3061,33083,33037,46,44750
1999:Q4,45254,-145,-428,48,1116,10599,1116,-5966,16183,-78,-656,1832,-4727,2273,34686,34142,544,45268
2000:Q1,45279,1875,708,16,5025,13697,5025,-1924,-4522,-144,15262,-1387,-6976,3657,28664,28801,-137,45295
2000:Q2,45851,1678,469,307,-221,3673,2252,-2014,18791,-64,-15292,441,7120,10421,21963,21708,255,45868
2000:Q3,47041,-222,1869,807,-3322,5874,-847,-9415,15791,-564,909,-2960,44164,15118,-14288,-14525,237,47058
2000:Q4,47835,-2621,-3132,306,-2021,16572,452,-6414,19791,-565,3308,341,-32664,20681,50373,49626,747,47853
2001:Q1,47628,-1622,-131,607,-3821,-23228,-1348,-1715,-2809,236,-17592,-260,44683,11466,19934,18800,1134,47642
2001:Q2,49006,4978,469,607,2679,10874,5152,5786,18591,-164,-18491,-1359,13379,2517,14862,14818,44,49020
2001:Q3,50385,78,-131,507,-2322,-29627,153,-16315,-16309,-1064,3908,441,53076,4290,24073,23256,817,50399
2001:Q4,51172,-1921,-32,506,-2421,-10727,52,-11714,2391,936,-2392,40,3973,7547,54207,54418,-211,51184
2002:Q1,50758,678,769,507,-1521,7372,952,8186,1191,-965,-1992,-59,20276,8822,13914,15021,-1107,50762
2002:Q2,51936,-1931,127,-1004,391,-23039,-653,-14354,-5672,119,-2479,-140,23916,3249,50367,52926,-2559,51939
2002:Q3,53041,801,-475,-2478,-146,-53963,-1166,-9806,-2093,-37,-40861,673,139106,18701,-49178,-47091,-2087,53043
2002:Q4,53490,2429,-46,7897,464,-30216,3716,-5222,-1475,20,-27255,405,-76586,6545,142598,136613,5985,53492
2003:Q1,52702,1899,-186,4516,266,-4411,2125,4808,11831,13,-23188,-1633,91554,17116,-56419,-57000,581,52705
2003:Q2,53635,-1793,-1155,-19003,-1118,8301,-8943,11123,19020,-8,-12891,2566,-160676,-5942,232455,226248,6207,53638
2003:Q3,54573,-196,188,-10777,-634,12508,-5071,-11717,16744,1863,10689,2108,-4263,7053,48586,46944,1642,54577
2003:Q4,54930,4244,455,7558,445,50811,3556,-1348,31018,1815,15770,-7242,-83801,2108,80352,74719,5633,54934
2004:Q1,54657,4975,500,10576,622,39982,4977,449,33983,1802,-1229,-3019,-52988,-223,54232,54600,-368,54689
2004:Q2,55000,-2897,26,-21935,-1290,42673,-10322,-2307,33007,2124,20171,3112,55534,25935,-46158,-54661,8503,55033
2004:Q3,55943,1058,-39,4550,289,-41350,2626,6268,-26295,-1949,-22000,-2976,-13985,-23328,131724,138612,-6888,55977
2004:Q4,56277,-3188,-468,-4315,-235,67949,-1626,11321,-17817,-1711,77782,-541,78017,1136,-82079,-90203,8124,56312
2005:Q1,55393,-610,-207,1039,84,10174,984,15787,-6778,-1615,1796,-2350,34763,-4412,16912,17233,-321,55422
2005:Q2,56370,563,-89,3406,229,-50804,2237,443,-35865,-1700,-15919,-235,1672,-2270,103898,99477,4421,56400
2005:Q3,57406,-1964,118,-4563,-256,10089,-1864,-10514,4846,76,17545,-2074,-61868,-14004,131928,132437,-509,57437
2005:Q4,57876,2386,411,6763,442,37120,4135,5877,28576,75,-1543,1743,-7577,-2244,18832,17103,1729,57909
2006:Q1,57140,-789,197,-1511,-68,4756,-239,-6905,8788,86,3026,783,77780,11826,-35834,-46430,10596,57159
2006:Q2,58337,-597,210,-1006,-36,27888,23,-996,18819,91,9951,1149,-13870,-10957,55556,61263,-5707,58358
