date,Federal government; Treasury securities; liability,Federal government; marketable Treasury securities; liability,Federal government; Treasury bills; liability,Federal government; other marketable Treasury securities; liability,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,Federal government; nonmarketable Treasury securities; liability,Federal government; U.S. savings securities; liability,State and local governments; State and local government series securities (SLGS); asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset,Federal government; other nonmarketable Treasury securities; liability,All sectors; Treasury securities; asset,Households and nonprofit organizations; Treasury securities; asset,Federal government; U.S. savings securities; liability,Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset,Nonfinancial corporate business; Treasury securities; asset,Nonfinancial noncorporate business; total U.S. government securities; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; State and local government series securities (SLGS); asset,State and local governments; Treasury securities, excluding SLGS; asset,Monetary authority; total Treasury securities; asset,Monetary authority; Treasury bills; asset,Monetary authority; other Treasury securities, excluding Treasury bills; asset,U.S.-chartered depository institutions; Treasury securities; asset,Foreign banking offices in the U.S.; Treasury securities; asset,Banks in U.S.-affiliated areas; Treasury securities; asset,Credit unions; Treasury securities; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset,Life insurance companies; Treasury securities; asset,Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset,Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset,Private pension funds; Treasury securities; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined contribution pension funds; Treasury securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,Money market funds; Treasury securities; asset,Money market funds; Treasury bills; asset,Money market funds; Other Treasury securities, excluding Treasury bills; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; Treasury bills; asset,Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset,Closed-end funds; Treasury securities; asset,Exchange-traded funds; Treasury securities; asset,Government-sponsored enterprises; Treasury securities; asset,Issuers of asset-backed securities; Treasury securities; asset,Security brokers and dealers; Treasury securities (net); asset,Holding companies; Treasury securities; asset,Other financial business; Treasury securities; asset,Rest of the world; Treasury securities; asset,Rest of the world; Treasury bills and certificates; asset,Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset,Instrument discrepancies; Treasury securities (level)
1963:Q1,263272,199827,70290,129537,0,63445,47319,0,0,16048,0,78,263272,70567,47319,23248,16367,0,16107,0,16107,30337,16046,14291,75854,521,127,249,5329,0,5329,6022,0,6022,2628,1971,657,16048,16048,0,6200,0,0,0,718,0,718,420,0,2232,0,1048,0,0,12498,0,12498,0
1963:Q2,264048,199094,69399,129695,0,64954,47582,0,0,17000,0,372,264048,70564,47582,22982,15252,0,16398,0,16398,31827,17786,14041,74477,538,139,260,5336,0,5336,5746,0,5746,2655,1991,664,17000,17000,0,6475,0,0,0,589,0,589,452,0,2326,0,963,0,0,13051,0,13051,0
1963:Q3,264385,199333,63712,135621,0,65052,47853,0,0,17073,0,126,264385,71976,47853,24123,14602,0,16966,0,16966,32007,14032,17975,72821,422,150,271,5457,0,5457,5841,0,5841,2640,1980,660,17073,17073,0,6550,0,0,0,728,0,728,486,0,1832,0,1394,0,0,13169,0,13169,0
1963:Q4,267845,202211,62478,139733,0,65634,48149,0,0,17160,0,325,267845,72892,48149,24743,15128,0,16314,0,16314,33582,11207,22375,74188,399,155,280,5597,0,5597,5813,0,5813,2679,2009,670,17160,17160,0,6510,0,0,0,728,0,728,510,0,2159,0,718,0,0,13033,0,13033,0
1964:Q1,268229,202520,56746,145774,0,65709,48383,0,0,17268,0,58,268229,74239,48383,25856,16148,0,16504,0,16504,33183,7413,25770,72926,398,155,286,5472,0,5472,5788,0,5788,2872,2154,718,17268,17268,0,6725,0,0,0,823,0,823,527,0,1952,0,569,0,0,12394,0,12394,0
1964:Q2,267656,200805,50740,150065,0,66851,48590,0,0,18179,0,82,267656,74497,48590,25907,15240,0,16446,0,16446,34494,5171,29323,70634,396,151,290,5328,0,5328,5715,0,5715,2665,1999,666,18179,18179,0,6975,0,0,0,831,0,831,539,0,1988,0,1021,0,0,12267,0,12267,0
1964:Q3,270714,203501,53345,150156,0,67213,48798,0,0,18348,0,67,270714,74484,48798,25686,14402,0,16793,0,16793,34950,4967,29983,72165,485,146,293,5498,0,5498,5840,0,5840,2661,1996,665,18348,18348,0,7066,0,0,0,911,0,911,548,0,1773,0,1535,0,0,12816,0,12816,0
1964:Q4,274261,206767,56476,150291,0,67494,49060,0,0,18409,0,25,274261,73571,49060,24511,14481,0,17333,0,17333,36506,6044,30462,74423,442,142,295,5629,0,5629,5594,0,5594,2715,2036,679,18409,18409,0,7030,0,0,0,767,0,767,552,0,1677,0,1374,0,0,13321,0,13321,0
1965:Q1,274096,206174,56525,149649,0,67922,49267,0,0,18480,0,175,274096,76555,49267,27288,14092,0,17597,0,17597,37091,6826,30265,71078,433,141,297,5572,0,5572,5639,0,5639,2909,2182,727,18480,18480,0,7417,0,0,0,824,0,824,553,0,1925,0,955,0,0,12538,0,12538,0
1965:Q2,271988,202972,53665,149307,0,69016,49365,0,0,19550,0,101,271988,76144,49365,26779,12320,0,17987,0,17987,38700,7761,30939,68573,425,141,298,5377,0,5377,5358,0,5358,2709,2032,677,19550,19550,0,7590,0,0,0,638,0,638,547,0,1835,0,1510,0,0,12286,0,12286,0
1965:Q3,270884,201452,53655,147797,0,69432,49498,0,0,19728,0,206,270884,75984,49498,26486,11829,0,18760,0,18760,39269,8396,30873,67578,482,141,299,5420,0,5420,5298,0,5298,2457,1843,614,19728,19728,0,7351,0,0,0,912,0,912,540,0,1734,0,595,0,0,12507,0,12507,0
1965:Q4,276737,207025,60177,146848,0,69712,49695,0,0,19724,0,293,276737,74762,49695,25067,12548,0,19524,0,19524,40478,9101,31377,71192,509,141,303,5464,0,5464,5119,0,5119,2539,1904,635,19724,19724,0,7153,0,0,0,811,0,811,534,0,1798,0,1082,0,0,13056,0,13056,0
1966:Q1,276864,206960,61133,145827,0,69904,49774,0,0,19747,0,383,276864,78944,49774,29170,12958,0,19835,0,19835,40196,9237,30959,67623,458,145,308,5252,0,5252,5171,0,5171,2479,1859,620,19747,19747,0,7312,0,0,0,1055,0,1055,528,0,1755,0,909,0,0,12189,0,12189,0
1966:Q2,272111,200411,56581,143830,0,71700,49940,0,0,20835,0,925,272111,76488,49940,26548,11330,0,20346,0,20346,41769,10447,31322,64852,408,151,315,5093,0,5093,4921,0,4921,2377,1783,594,20835,20835,0,7046,0,0,0,1171,0,1171,521,0,2036,0,818,0,0,11634,0,11634,0
1966:Q3,274208,202581,65346,137235,0,71627,50025,0,0,20935,0,667,274208,79238,50025,29213,10774,0,20248,0,20248,41537,15456,26081,65036,483,158,322,5080,0,5080,4852,0,4852,2351,1763,588,20935,20935,0,7166,0,0,0,1449,0,1449,514,0,1923,0,893,0,0,11249,0,11249,0
1966:Q4,280293,208138,70603,137535,0,72155,50249,0,0,20977,0,929,280293,79080,50249,28831,11054,0,20097,0,20097,43655,16155,27500,67624,459,163,327,4991,0,4991,4921,0,4921,2304,1728,576,20977,20977,0,7115,0,0,0,1437,0,1437,511,0,2684,0,1742,0,0,11152,0,11152,0
1967:Q1,281315,209601,72502,137099,0,71714,50456,0,0,20925,0,333,281315,77816,50456,27360,10445,0,20115,0,20115,44029,17160,26869,69590,435,172,329,4623,0,4623,4855,0,4855,2148,1611,537,20925,20925,0,6800,0,0,0,1217,0,1217,511,0,3658,0,2140,0,0,11507,0,11507,0
1967:Q2,272756,199980,64145,135835,0,72776,50681,0,0,22043,0,52,272756,74762,50681,24081,7908,0,20003,0,20003,46318,18359,27959,65673,407,183,328,4335,0,4335,4690,0,4690,1999,1499,500,22043,22043,0,6646,0,0,0,902,0,902,512,0,3800,0,710,0,0,11537,0,11537,0
1967:Q3,281351,208290,63746,144544,0,73061,50937,0,0,22074,0,50,281351,77240,50937,26303,7287,50,20033,0,20033,46402,14097,32305,72743,491,194,328,4325,0,4325,4717,0,4717,1967,1475,492,22074,22074,0,6308,0,0,0,694,0,694,517,0,2974,0,985,0,0,12022,0,12022,0
1967:Q4,290462,216899,69870,147029,0,73563,51219,0,0,22292,0,52,290462,78992,51219,27773,8614,100,19742,0,19742,48980,15975,33005,75149,576,204,331,4286,0,4286,4683,0,4683,1987,1490,497,22292,22292,0,6165,0,0,0,921,0,921,528,0,2690,0,983,0,0,13239,0,13239,0
1968:Q1,295845,222114,71300,150814,0,73731,51345,0,0,22334,0,52,295845,83471,51345,32126,9950,150,19320,0,19320,49495,16161,33334,74850,590,210,334,4170,0,4170,4678,0,4678,2207,1655,552,22334,22334,0,6219,0,0,0,1167,0,1167,548,0,2850,0,968,0,0,12334,0,12334,0
1968:Q2,292526,217294,64440,152854,0,75232,51477,0,0,23603,0,152,292526,82132,51477,30655,8627,200,19303,0,19303,52230,18380,33850,71972,608,213,334,4007,0,4007,4447,0,4447,2181,1636,545,23603,23603,0,6120,0,0,0,1047,0,1047,579,0,2998,0,905,0,0,11020,0,11020,0
1968:Q3,299259,223989,69779,154210,0,75270,51624,0,0,23594,0,52,299259,83482,51624,31858,7879,250,19514,0,19514,52405,18794,33611,75546,630,216,339,3995,0,3995,4528,0,4528,2120,1590,530,23594,23594,0,6023,0,0,0,1405,0,1405,609,0,2585,0,2543,0,0,11596,0,11596,0
1968:Q4,301225,225679,75012,150667,0,75546,51866,0,0,23628,0,52,301225,81735,51866,29869,8959,300,19926,0,19926,52937,18756,34181,77213,620,220,357,3933,0,3933,4456,0,4456,2359,1769,590,23628,23628,0,5921,0,0,0,1143,0,1143,625,0,2550,0,1766,0,0,12577,0,12577,0
1969:Q1,301194,225552,77547,148005,0,75642,51834,0,0,23755,0,53,301194,89044,51834,37210,9399,350,20432,0,20432,52010,17583,34427,72145,622,226,390,3781,0,3781,4339,0,4339,2460,1845,615,23755,23755,0,5850,0,0,0,1571,0,1571,630,0,2275,0,733,0,0,11182,0,11182,0
1969:Q2,290326,213596,68356,145240,0,76730,51807,0,0,24871,0,52,290326,82342,51807,30535,7949,400,20956,0,20956,54095,19466,34629,66693,623,232,441,3939,0,3939,4129,0,4129,2191,1643,548,24871,24871,0,5815,0,0,0,959,0,959,630,0,2334,0,1120,0,0,10607,0,10607,0
1969:Q3,296824,219837,73972,145865,0,76987,51689,0,0,25176,0,122,296824,90872,51689,39183,5786,450,21751,0,21751,53932,19149,34783,65293,631,239,492,3479,0,3479,4088,0,4088,2159,1619,540,25176,25176,0,5696,0,0,0,1010,0,1010,621,0,1725,0,866,0,0,12558,0,12558,0
1969:Q4,301974,224726,80571,144155,0,77248,51770,0,0,25147,0,331,301974,93166,51770,41396,5646,500,23007,0,23007,57154,22265,34889,65538,641,248,527,3448,0,3448,4124,0,4124,2183,1637,546,25147,25147,0,5437,0,0,0,675,0,675,601,0,1964,0,1728,0,0,10240,0,10240,0
1970:Q1,304398,227467,83729,143738,0,76931,51608,0,0,25185,0,138,304398,98271,51608,46663,5255,550,23963,0,23963,55578,20897,34681,61050,350,255,546,3350,0,3350,4080,0,4080,2081,1561,520,25185,25185,0,5335,0,0,0,476,0,476,646,0,3256,0,2155,0,0,12016,0,12016,0
1970:Q2,300478,221776,76154,145622,0,78702,51593,0,0,26910,0,199,300478,88736,51593,37143,6065,600,24366,0,24366,57714,22407,35307,60310,394,261,553,3242,0,3242,4014,0,4014,1984,1488,496,26910,26910,0,5179,0,0,0,2563,0,2563,579,0,2701,0,620,0,0,13687,0,13687,0
1970:Q3,308087,229196,80691,148505,0,78891,51704,0,0,27046,0,141,308087,85911,51704,34207,6966,650,23868,0,23868,59975,24110,35865,65415,488,268,555,3388,0,3388,4147,0,4147,2152,1614,538,27046,27046,0,5274,0,0,0,822,0,822,518,0,2212,0,2007,0,0,16425,0,16425,0
1970:Q4,317451,237659,87923,149736,0,79792,52089,0,0,27528,0,175,317451,83041,52089,30952,6283,700,22940,0,22940,62142,25965,36177,71287,497,277,558,3398,0,3398,4042,0,4042,2124,1593,531,27528,27528,0,5104,0,0,0,850,0,850,491,0,3059,0,3398,0,0,19732,0,19732,0
1971:Q1,320237,239296,88977,150319,0,80941,52533,0,0,27726,0,682,320237,79938,52533,27405,5735,750,22010,0,22010,63860,25638,38222,72198,458,307,562,3328,0,3328,4004,0,4004,2259,1694,565,27726,27726,0,4880,0,0,0,892,0,892,500,0,4197,0,1924,0,0,24709,18661,6048,0
1971:Q2,324021,241212,86677,154535,0,82809,53182,0,0,29583,0,44,324021,76155,53182,22973,7130,800,21890,0,21890,64918,27929,36989,71042,277,332,566,3220,0,3220,3722,0,3722,2001,1501,500,29583,29583,0,4426,0,0,0,637,0,637,541,0,3424,0,1477,0,0,31880,22758,9122,0
1971:Q3,333600,249957,88644,161313,0,83643,53772,0,0,29814,0,57,333600,78357,53772,24585,6211,860,21848,0,21848,66662,29584,37078,68370,277,401,567,3180,0,3180,3751,0,3751,2044,1533,511,29814,29814,0,4371,0,0,0,457,0,457,590,0,2145,0,1884,0,0,41811,29772,12039,0
1971:Q4,346291,261392,97505,163887,0,84899,54416,0,0,30371,0,112,346291,74200,54416,19784,9057,900,22587,0,22587,68996,30156,38840,74124,263,438,564,3183,0,3183,3828,0,3828,2125,1594,531,30371,30371,0,3896,0,0,0,559,0,559,622,0,2493,0,1799,0,0,46286,33025,13261,0
1972:Q1,350191,264601,102371,162230,0,85590,55202,0,0,30289,0,99,350191,76873,55202,21671,7207,950,23279,0,23279,68971,29676,39295,72140,466,399,554,3055,0,3055,3990,0,3990,2540,1905,635,30289,30289,0,3633,0,0,0,558,0,558,641,0,4160,0,1397,0,0,49089,34933,14156,0
1972:Q2,346318,257796,94648,163148,0,88522,56037,0,0,32423,0,62,346318,75289,56037,19252,5200,1000,23584,0,23584,70756,31258,39498,69280,369,368,533,2886,0,2886,3722,0,3722,2451,1838,613,32423,32423,0,3723,0,0,0,570,0,570,650,0,3228,0,1107,0,0,49179,31871,17308,0
1972:Q3,351066,261550,96363,165187,0,89516,56797,0,0,32693,0,26,351066,76500,56797,19703,4828,1050,24150,0,24150,68677,29660,39017,69176,478,508,517,2757,0,2757,3875,0,3875,2623,1967,656,32693,32693,0,3643,0,0,0,712,0,712,659,0,1957,0,1770,0,0,54493,32714,21779,0
1972:Q4,363483,272428,103870,168558,0,91055,57667,0,0,33364,0,24,363483,77357,57667,19690,6881,1100,24896,0,24896,69808,29664,40144,75648,480,643,518,2901,0,2901,3827,0,3827,3381,2536,845,33364,33364,0,3597,0,0,0,689,0,689,676,0,1245,0,2012,0,0,54460,31845,22615,0
1973:Q1,371244,279503,104991,174512,0,91741,58549,0,0,33182,0,10,371244,80898,58549,22349,5947,1133,25424,0,25424,73784,32761,41023,69722,352,558,641,2734,0,2734,3824,0,3824,3725,2794,931,33182,33182,0,3687,0,0,0,481,0,481,702,0,935,0,1365,0,0,62150,37971,24179,0
1973:Q2,367336,272356,100061,172295,0,94980,59483,0,0,35497,0,0,367336,81852,59483,22369,4759,1161,25889,0,25889,74952,34247,40705,65666,396,473,690,2674,0,2674,3572,0,3572,4011,3008,1003,35497,35497,0,3460,0,0,0,562,0,562,740,0,337,0,1430,0,0,59215,34951,24264,0
1973:Q3,365479,270401,99762,170639,0,95078,59885,0,0,35193,0,0,365479,87064,59885,27179,1923,1176,26152,0,26152,75224,34100,41124,61875,429,521,740,2738,0,2738,3466,0,3466,4711,3533,1178,35193,35193,0,3028,0,0,0,682,0,682,774,0,448,0,1889,0,0,57446,33698,23748,0
1973:Q4,372203,276350,107786,168564,0,95853,60354,0,0,35499,0,0,372203,88480,60354,28126,2482,1183,26065,0,26065,78458,36897,41561,65168,449,570,777,2837,0,2837,3444,0,3444,5379,4034,1345,35499,35499,0,2508,0,0,0,660,0,660,788,0,1145,0,2008,0,0,54303,31866,22437,0
1974:Q1,374816,278582,111859,166723,0,96234,61121,0,0,35113,0,0,374816,95978,61121,34857,968,1199,26102,0,26102,77929,36400,41529,64256,442,445,798,2765,0,2765,3596,0,3596,6109,4582,1527,35113,35113,0,1840,2,0,2,859,0,859,784,0,1124,0,971,0,0,53536,31483,22053,0
1974:Q2,372699,271853,105019,166834,0,100846,61934,0,0,38912,0,0,372699,90833,61934,28899,1492,1214,25809,0,25809,80284,37274,43010,58675,465,421,802,2560,0,2560,3349,0,3349,6912,5184,1728,38912,38912,0,1886,5,0,5,495,0,495,760,0,756,0,827,0,0,56242,34008,22234,0
1974:Q3,376391,251769,111099,139169,1501,124622,62525,0,0,36625,0,25472,376391,95248,62525,32723,1981,1226,26258,0,26258,80353,34100,46253,56313,416,400,811,2525,0,2525,3327,0,3327,8235,6176,2059,38126,38126,0,1515,20,0,20,826,0,826,732,0,819,0,1723,0,0,55537,33473,22064,0
1974:Q4,387067,261883,119746,140636,1501,125184,63338,0,0,36737,0,25109,387067,96253,63338,32915,2613,1238,26523,0,26523,80058,36765,43293,60167,503,346,848,2860,0,2860,3372,0,3372,8559,6419,2140,38238,38238,0,1585,112,0,112,1109,0,1109,716,0,1441,0,2256,0,0,58270,35190,23080,0
1975:Q1,406793,278231,123972,154259,0,128562,64349,0,0,37947,0,26266,406793,93872,64349,29523,6488,1228,26991,0,26991,82034,36087,45947,65550,439,375,912,3170,0,3170,3585,0,3585,9623,7217,2406,37947,37947,0,1559,244,0,244,785,0,785,710,0,4248,0,2713,0,0,64320,40093,24227,0
1975:Q2,428741,294758,128569,166189,0,133983,65430,0,0,43043,0,25510,428741,96690,65430,31260,8123,1226,26734,0,26734,83949,37172,46777,75203,426,395,1004,3509,0,3509,3712,0,3712,10516,7887,2629,43043,43043,0,2215,291,0,291,949,0,949,710,0,3523,0,1813,0,0,64710,38278,26432,0
1975:Q3,451163,319044,142803,176241,0,132119,66407,0,0,41962,0,23750,451163,105611,66407,39204,9192,1243,27183,0,27183,86474,35422,51052,84227,436,408,1100,3995,0,3995,3821,0,3821,11896,8922,2974,41962,41962,0,2548,596,0,596,1493,0,1493,713,0,3024,0,1254,0,0,63987,36642,27345,0
1975:Q4,476979,343752,157483,186231,38,133227,67363,0,0,42023,0,23841,476979,111787,67363,44424,14264,1274,27783,0,27783,86717,37207,49510,94063,610,417,1177,4720,0,4720,4736,0,4736,12396,9297,3099,42061,42061,0,2540,927,0,927,1066,0,1066,716,0,2935,0,1152,120,0,65518,37436,28082,0
1976:Q1,500032,365380,163140,202166,74,134652,68460,1000,0,41249,0,23943,500032,110786,68460,42326,19259,1249,31610,1000,30610,87293,36731,50562,100744,705,375,1232,5460,0,5460,5072,0,5072,13613,10210,3403,41323,41323,0,3058,1201,0,1201,1435,0,1435,724,0,4093,0,2719,128,0,67953,37571,30382,0
1976:Q2,515607,372629,161198,211335,96,142978,69621,2000,0,47585,0,23772,515607,107997,69621,38376,20432,1258,33077,2000,31077,90575,38729,51846,103706,861,346,1275,5750,0,5750,4956,0,4956,15211,11408,3803,47681,47681,0,3632,832,0,832,1196,0,1196,741,0,3847,0,2571,136,0,69527,38257,31270,0
1976:Q3,532091,388895,161505,227266,124,143196,70923,3000,0,46188,0,23085,532091,108305,70923,37382,18534,1352,35536,3000,32536,94445,38245,56200,106430,783,410,1310,6585,0,6585,5419,0,5419,16371,12278,4093,46312,46312,0,3900,974,0,974,1368,0,1368,752,0,4205,0,5143,144,0,73813,40119,33694,0
1976:Q4,550401,402836,163992,238702,142,147565,72018,4460,0,46515,0,24572,550364,102804,72018,30786,21547,1515,40241,4460,35781,93268,38571,54697,115909,1162,494,1343,7300,0,7300,5368,0,5368,18075,13556,4519,46657,46657,0,4057,1049,0,1049,1086,0,1086,746,0,4392,0,5604,164,0,77583,40743,36840,37
1977:Q1,567090,417402,164264,252986,152,149688,73203,6824,0,45314,0,24347,567053,107210,73203,34007,22381,1686,43626,6824,36802,95672,39170,56502,119487,977,550,1378,8486,0,8486,5542,0,5542,17873,13405,4468,45466,45466,0,4712,1042,0,1042,1368,0,1368,718,0,3202,0,1624,184,0,83869,43554,40315,37
1977:Q2,567606,413050,155064,257980,6,154556,74448,9185,0,46922,0,24001,567569,99559,74448,25111,17508,1878,49779,9185,40594,98163,40827,57336,117172,876,621,1419,7633,0,7633,5337,0,5337,19957,14968,4989,46928,46928,0,6568,798,0,798,1485,0,1485,666,0,1401,0,1990,208,0,87623,44110,43513,37
1977:Q3,593712,429469,156091,273340,38,164243,75572,11545,0,53064,0,24062,593675,103718,75572,28146,17055,2123,55880,11545,44335,102405,44048,58357,114782,1054,660,1443,8770,0,8770,5719,0,5719,20080,15060,5020,53102,53102,0,6757,755,0,755,1740,0,1740,616,0,830,0,148,240,0,95798,43181,52617,37
1977:Q4,614181,445890,161081,284754,55,168291,76762,13910,0,53177,0,24442,614489,104849,76762,28087,16556,2412,61363,13910,47453,100918,41561,59357,115232,1189,702,1424,9760,0,9760,5315,0,5315,21308,15981,5327,53232,53232,0,6760,883,0,883,1763,0,1763,590,0,961,0,350,268,0,108654,48905,59749,-308
1978:Q1,633741,461467,165652,295749,66,172274,77958,16509,0,51900,0,25907,634049,108498,77958,30540,14993,2732,68774,16509,52265,99890,38358,61532,114065,1132,700,1254,9754,0,9754,5075,0,5075,21477,16108,5369,51966,51966,0,7624,1120,0,1120,1833,0,1833,588,0,842,0,-947,240,0,122439,61039,61400,-308
1978:Q2,637824,462538,159757,302697,84,175286,79116,19112,0,53341,0,23717,638132,103882,79116,24766,13970,3001,73601,19112,54489,107859,44080,63779,112396,1283,700,1023,9222,0,9222,4924,0,4924,22185,16639,5546,53425,53425,0,9095,1065,0,1065,1818,0,1818,608,0,1320,0,-884,216,0,117423,57103,60320,-308
1978:Q3,659402,474270,160936,313217,117,185132,79945,21714,0,59536,0,23937,659710,109593,79945,29648,12692,3143,80665,21714,58951,113027,47551,65476,109268,1294,665,895,9895,0,9895,5113,0,5113,21089,15817,5272,59653,59653,0,9543,960,0,960,1748,0,1748,632,0,1097,0,-902,192,0,119448,56691,62757,-308
1978:Q4,675125,478139,161747,316252,140,196986,80691,24320,0,60119,0,31856,673910,109094,80691,28403,15070,3184,83680,24320,59360,109478,42158,67320,106418,1450,629,727,10450,0,10450,4822,0,4822,23179,17384,5795,60259,60259,0,9454,886,0,886,1584,0,1584,643,0,1442,0,-1605,165,0,132901,68201,64700,1215
1979:Q1,684106,487732,165459,322117,156,196374,80562,24390,0,58395,0,33027,682891,116054,80562,35492,14519,3192,89510,24390,65120,109260,41241,68019,107182,1290,600,772,10896,0,10896,5357,0,5357,23727,17795,5932,58551,58551,0,10677,1687,0,1687,1722,0,1722,644,0,862,0,-444,200,0,126633,60708,65925,1215
1979:Q2,681578,487581,159890,327505,186,193997,80595,24463,0,59860,0,29079,680363,119609,80595,39014,17689,3159,89331,24463,64868,106432,38370,68062,105035,1526,563,863,10741,0,10741,5204,0,5204,24928,18696,6232,60046,60046,0,13327,1988,0,1988,1502,0,1502,639,0,1827,0,1998,240,0,113716,47544,66172,1215
1979:Q3,701618,498750,161378,337146,226,202868,80570,24535,0,67381,0,30382,700403,126951,80570,46381,13855,3024,90086,24535,65551,114596,44232,70364,103082,1658,618,887,10694,0,10694,5150,0,5150,25769,19327,6442,67607,67607,0,13287,1224,0,1224,1379,0,1379,632,0,931,0,-1551,280,0,120244,52428,67816,1215
1979:Q4,720317,516104,172644,343455,5,204213,79876,24610,0,68254,0,31473,720534,156100,79876,76224,13472,2805,85460,24610,60850,116291,45244,71047,104386,1953,672,625,10665,0,10665,4888,0,4888,25995,19496,6499,68259,68259,0,14706,1621,0,1621,1536,0,1536,628,0,1239,0,-7023,298,0,115958,48572,67386,-217
1980:Q1,735824,540619,190780,349812,27,195205,75996,23910,0,66134,0,29165,735928,162305,75996,86309,14300,2635,82029,23910,58119,115734,43851,71883,104944,2010,693,599,11158,0,11158,4917,0,4917,27203,20402,6801,66161,66161,0,16159,7004,0,7004,1679,0,1679,629,0,1810,0,-246,304,0,113901,44446,69455,-104
1980:Q2,743632,553831,184684,369091,56,189801,73392,23630,0,67302,0,25477,743960,157425,73392,84033,9914,2509,82477,23630,58847,124058,49781,74277,106834,2125,722,801,10161,0,10161,5135,0,5135,29387,22040,7347,67358,67358,0,17582,5272,0,5272,2592,0,2592,634,0,1817,0,-137,304,0,116990,48192,68798,-328
1980:Q3,781070,582379,199832,382469,78,198691,73043,23630,0,76846,0,25172,781216,160995,73043,87952,13704,2493,87987,23630,64357,119418,43907,75511,115212,2447,750,933,11082,0,11082,5338,0,5338,30569,22927,7642,76924,76924,0,19999,7450,0,7450,1939,0,1939,638,0,2055,0,465,312,0,120506,50730,69776,-146
1980:Q4,807189,609679,216104,393471,104,197510,72528,23850,0,77079,0,24053,806463,173142,72528,100614,13697,2564,93322,23850,69472,119299,43688,75611,121131,2530,770,939,12248,0,12248,5838,0,5838,32215,24161,8054,77183,77183,0,20927,3474,0,3474,1853,0,1853,634,0,1682,0,-4746,312,0,127449,57594,69855,726
1981:Q1,838634,646299,235215,410946,138,192335,70355,23490,0,74301,0,24189,837894,164932,70355,94577,12593,2728,97651,23490,74161,117666,42078,75588,125092,2343,786,973,13203,0,13203,7206,0,7206,33352,25014,8338,74439,74439,0,22432,14518,0,14518,2651,0,2651,621,0,3,0,8332,296,0,136077,62258,73819,740
1981:Q2,837682,646256,218786,427259,211,191426,69223,23210,0,75442,0,23551,836908,159455,69223,90232,17272,2900,103545,23210,80335,120017,43593,76424,125071,2371,803,957,12959,2,12957,6952,0,6952,34543,25907,8636,75653,75653,0,24531,9023,0,9023,2363,0,2363,598,0,1734,0,1130,291,0,134740,59727,75013,774
1981:Q3,867051,668124,223388,444736,0,198927,68299,23210,0,86895,0,20523,866182,169801,68299,101502,19985,3091,106929,23210,83719,124330,46930,77400,122067,2431,811,865,13614,8,13606,7192,0,7192,34755,26066,8689,86895,86895,0,25215,11419,0,11419,2443,0,2443,576,0,1828,0,1962,296,0,129677,52368,77309,869
1981:Q4,903113,705719,245015,460704,0,197394,68190,22980,0,87179,0,19045,902537,168182,68190,99992,18652,3298,108315,22980,85335,127738,49359,78379,122975,2942,800,1014,13491,15,13476,8167,0,8167,46684,35013,11671,87179,87179,0,27564,21519,0,21519,2775,0,2775,565,0,1901,0,2958,309,0,135509,55314,80195,576
1982:Q1,933246,738577,256212,482365,0,194669,67495,23160,0,84313,0,19701,932689,172555,67495,105060,16030,3080,116685,23160,93525,123992,45543,78449,126758,3108,819,1127,13665,30,13635,11071,0,11071,56035,42026,14009,84313,84313,0,29545,25560,0,25560,3512,0,3512,567,0,1871,0,6685,232,0,135479,50172,85307,557
1982:Q2,944377,749688,256007,493681,0,194689,67442,23380,0,86345,0,17522,943817,177157,67442,109715,12805,2945,125500,23380,102120,127005,47921,79084,124386,2841,841,1203,13495,74,13421,10952,0,10952,62040,46530,15510,86345,86345,0,32417,22402,0,22402,3895,0,3895,578,0,2102,0,-722,152,0,135478,48831,86647,560
1982:Q3,1013958,809587,277900,531687,0,204371,67589,23580,0,98516,0,14686,1013770,195251,67589,127662,15150,3014,122791,23580,99211,130591,50309,80282,126665,2798,869,1086,14125,162,13963,12705,0,12705,67904,50928,16976,98516,98516,0,35849,38221,0,38221,4594,0,4594,592,0,6133,0,-4991,184,0,141723,51589,90134,188
